Question,Answer
"# Translate:

atacante

## Footnote

El atacante marcó un gol impresionante.","attacker, forward

## Footnote

The attacker scored a stunning goal."
"# Translate:

grité

## Footnote

Grité pidiendo ayuda en voz alta.","I shouted

## Footnote

I shouted for help loudly."
"# Translate:

dispararte

## Footnote

No te dispares en el pie.","to shoot yourself

## Footnote

Don't shoot yourself in the foot."
"# Translate:

bah

## Footnote

Bah, no me lo creo.","bah

## Footnote

Bah, I don't believe it."
"# Translate:

poseído

## Footnote

Parecía poseída por un espíritu oscuro.","possessed

## Footnote

She seemed possessed by a dark spirit."
"# Translate:

cortarte

## Footnote

Ten cuidado de no cortarte.","to cut yourself

## Footnote

Be careful not to cut yourself."
"# Translate:

acercamiento

## Footnote

Su acercamiento fue cauteloso y lento.","approach

## Footnote

Her approach was cautious and slow."
"# Translate:

primitivo

## Footnote

Las herramientas antiguas eran bastante primitivas.","primitive

## Footnote

Ancient tools were quite primitive."
"# Translate:

anti

## Footnote

Ella es activista anti-guerra.","anti

## Footnote

She is anti-war activist."
"# Translate:

acosador

## Footnote

Ella denunció a su acosador a la policía.","stalker

## Footnote

She reported her stalker to the police."
"# Translate:

atroz

## Footnote

El clima de hoy es atroz.","atrocious

## Footnote

The weather today is atrocious."
"# Translate:

empeño

## Footnote

Su empeño tuvo una generosa recompensa.","effort

## Footnote

His effort paid off handsomely."
"# Translate:

reconfortante

## Footnote

Sus palabras fueron profundamente reconfortantes.","comforting

## Footnote

Her words were deeply comforting."
"# Translate:

prepárese

## Footnote

Prepárese para el viaje que tiene por delante.","prepare yourself (imperative, usted)

## Footnote

Prepare yourself for the journey ahead."
"# Translate:

contesto

## Footnote

Contesto el teléfono rápidamente.","I answer

## Footnote

I answer the phone quickly."
"# Translate:

pulpo

## Footnote

El pulpo nadó rápidamente lejos.","octopus

## Footnote

The octopus swam swiftly away."
"# Translate:

triunfar

## Footnote

Ella trabajó duro para triunfar.","to triumph

## Footnote

She worked hard to triumph."
"# Translate:

perverso

## Footnote

Su sonrisa era perversa y astuta.","wicked

## Footnote

His smile was wicked and cunning."
"# Translate:

grueso

## Footnote

Las páginas del libro eran gruesas.","thick

## Footnote

The book's pages were thick."
"# Translate:

carril

## Footnote

Cambia al carril izquierdo.","lane

## Footnote

Switch to the left lane."
"# Translate:

pegaste

## Footnote

Pegaste la foto en la pared.","you stuck

## Footnote

You stuck the photo on the wall."
"# Translate:

dominante

## Footnote

Los leones son los depredadores dominantes.","dominant

## Footnote

Lions are the dominant predators."
"# Translate:

apretón

## Footnote

Dame un apretón fuerte, por favor.","squeeze

## Footnote

Give me a tight squeeze, please."
"# Translate:

recordarás

## Footnote

Recordarás este día para siempre.","you will remember

## Footnote

You will remember this day forever."
"# Translate:

plateado

## Footnote

El coche fue pintado de plateado.","silver

## Footnote

The car was painted silver."
"# Translate:

atuendo

## Footnote

Ella admiró su nuevo atuendo en el espejo.","outfit

## Footnote

She admired her new outfit in the mirror."
"# Translate:

regional

## Footnote

Los sabores regionales varían ampliamente.","regional

## Footnote

Regional flavors vary widely."
"# Translate:

folleto

## Footnote

Recogí un folleto de viaje.","brochure

## Footnote

I picked up a travel brochure."
"# Translate:

vertical

## Footnote

La imagen cuelga perfectamente vertical.","vertical

## Footnote

The picture hangs perfectly vertical."
"# Translate:

africano

## Footnote

Ella estudia historia del arte africano.","African

## Footnote

She studies African art history."
"# Translate:

trimestre

## Footnote

El primer trimestre termina en marzo.","quarter

## Footnote

The first quarter ends in March."
"olfato

## Footnote

Los perros tienen buen olfato.","sense of smell

## Footnote

Dogs have a good sense of smell."
"# Translate:

ancla

## Footnote

El barco soltó su ancla.","anchor

## Footnote

The ship dropped its anchor."
"# Translate:

intestino

## Footnote

El intestino absorbe los nutrientes esenciales.","intestine

## Footnote

The intestine absorbs essential nutrients."
"# Translate:

échate

## Footnote

Por favor, échate y descansa.","lie down (imperative, tú)

## Footnote

Please lie down and rest."
"# Translate:

narrador

## Footnote

La voz del narrador era relajante.","narrator

## Footnote

The narrator's voice was soothing."
"# Translate:

resentimiento

## Footnote

Su silencio ocultaba un profundo resentimiento.","resentment

## Footnote

His silence masked deep resentment."
"# Translate:

informal

## Footnote

Tuvimos una reunión informal.","informal

## Footnote

We had an informal meeting."
"# Translate:

bájalo

## Footnote

Por favor, bájalo del estante.","bring it down (imperative, tú)

## Footnote

Please bring it down from the shelf."
"# Translate:

retroceda

## Footnote

Por favor, retroceda al principio del libro.","go back (imperative, usted)

## Footnote

Please go back to the beginning of the book."
"# Translate:

cordura

## Footnote

Ella cuestionaba su propia cordura a diario.","sanity

## Footnote

She questioned her own sanity daily."
"# Translate:

bromees

## Footnote

Quiero que bromees, que seas chistoso.","you joke

## Footnote

I want you to joke, to be funny."
"# Translate:

exclusivo

## Footnote

Una entrevista exclusiva con la estrella.","exclusive

## Footnote

An exclusive interview with the star."
"# Translate:

llevaré

## Footnote

Llevaré el paquete ahora.","I will take

## Footnote

I will take the package now."
"# Translate:

prado

## Footnote

Los ciervos pastaban tranquilamente en el prado.","meadow

## Footnote

Deer grazed peacefully in the meadow."
"# Translate:

desafiar

## Footnote

Decidió desafiar al campeón.","to challenge

## Footnote

He decided to challenge the champion."
"# Translate:

pulmonar

## Footnote

Ella tiene una condición pulmonar grave.","pulmonary

## Footnote

She has a serious pulmonary condition."
"# Translate:

yenes

## Footnote

Ella tiene yenes para el viaje.","yen (japanese currency)

## Footnote

She has yen for the trip."
"# Translate:

apurado

## Footnote

Se ha apurado para alcanzar el autobús.","rushed

## Footnote

He rushed to catch the bus."
"# Translate:

demócrata

## Footnote

Ella votó por el candidato demócrata.","Democrat

## Footnote

She voted for the Democrat candidate."
"# Translate:

protestar

## Footnote

Protestarán contra la ley.","to protest

## Footnote

They will protest against the law."
"# Translate:

interminable

## Footnote

La reunión se sintió interminable.","endless

## Footnote

The meeting felt endless."
"# Translate:

conservador

## Footnote

Él tiene puntos de vista conservadores sobre el matrimonio.","conservative

## Footnote

He holds conservative views on marriage."
"# Translate:

rotación

## Footnote

La rotación de la Tierra afecta el día y la noche.","rotation

## Footnote

The Earth's rotation affects day and night."
"# Translate:

extorsión

## Footnote

Fue arrestado por extorsión.","extortion

## Footnote

He was arrested for extortion."
"# Translate:

mariquita

## Footnote

Una mariquita se posó en mi mano.","ladybug

## Footnote

A ladybug landed on my hand."
"# Translate:

alumna

## Footnote

Ella es una orgullosa alumna de Harvard.","student

## Footnote

She's a proud Harvard student."
