Question,Answer
"# Translate:

давить

## Footnote

Сапог давит мне на ногу.","to press against

## Footnote

The boot presses against my foot."
"# Translate:

усиление

## Footnote

Усиление ветра продолжается.","intensification

## Footnote

The intensification of the wind continues."
"# Translate:

неверный

## Footnote

Он был неверен ей.","unfaithful, incorrect

## Footnote

He was unfaithful to her."
"# Translate:

группировка

## Footnote

Эта группировка опасна.","faction, gang

## Footnote

This faction is dangerous."
"# Translate:

люк

## Footnote

Открой люк.","hatch, manhole

## Footnote

Open the hatch."
"# Translate:

восьмой

## Footnote

Она закончила гонку на восьмом месте.","eighth, 8th

## Footnote

She finished the race in eighth place."
"# Translate:

турецкий

## Footnote

Я люблю турецкий кофе.","Turkish

## Footnote

I love Turkish coffee."
"# Translate:

претендовать

## Footnote

Она будет претендовать на роль.","to contend for

## Footnote

She will contend for the role."
"# Translate:

отобрать

## Footnote

Они отберут у тебя твои права.","take away, confiscate

## Footnote

They will take away your rights."
"# Translate:

праздничный

## Footnote

Комната выглядела праздничной и яркой.","festive, holiday

## Footnote

The room looked festive and bright."
"# Translate:

уста

## Footnote

Её уста прошептали тайное обещание.","lips, mouth

## Footnote

Her lips whispered a secret promise."
"# Translate:

переехать

## Footnote

Мы переедем в следующем месяце.","move, relocate

## Footnote

We will move next month."
"# Translate:

квалификация

## Footnote

У него высокая квалификация.","professional qualifications

## Footnote

He has high professional qualifications."
"# Translate:

незначительный

## Footnote

Изменение было незначительным.","insignificant, minor

## Footnote

The change was insignificant."
"# Translate:

сыр

## Footnote

Я ем сыр с хлебом.","cheese

## Footnote

I eat cheese with bread."
"# Translate:

незаконный

## Footnote

Продажа наркотиков незаконна.","illegal, unlawful

## Footnote

Selling drugs is illegal."
"# Translate:

ха

## Footnote

""Ха, я знал, что ты придешь!""","ha, haha

## Footnote

""Ha, I knew you'd come!"""
"# Translate:

снежный

## Footnote

Снежный день был тихим.","snowy, snow

## Footnote

The snowy day was quiet."
"# Translate:

президентский

## Footnote

Он объявил о своей президентской кампании сегодня.","presidential, president's

## Footnote

He announced his presidential campaign today."
"# Translate:

скучно

## Footnote

Мне здесь скучно.","bored

## Footnote

I'm bored here."
"# Translate:

исключительный

## Footnote

У неё исключительный талант.","exceptional

## Footnote

She has exceptional talent."
"# Translate:

обман

## Footnote

Обман разрушил их доверие.","deception, fraud

## Footnote

Deception destroyed their trust."
"# Translate:

зрелище

## Footnote

Бой был страшным зрелищем.","spectacle, show

## Footnote

The fight was a terrible spectacle."
"# Translate:

национальность

## Footnote

Она русская по национальности.","ethnicity, ethnic nationality

## Footnote

Her ethnicity is Russian."
"# Translate:

купец

## Footnote

Купец продал хлеб.","merchant, trader

## Footnote

The merchant sold bread."
"# Translate:

провод

## Footnote

Провод слишком длинный.","wire, cable

## Footnote

The wire is too long."
"# Translate:

гриб

## Footnote

Я нашел гриб в лесу.","mushroom, fungus

## Footnote

I found a mushroom in the forest."
"# Translate:

фрукт

## Footnote

Я люблю есть свежие фрукты каждый день.","fruit

## Footnote

I love eating fresh fruit daily."
"# Translate:

ненужный

## Footnote

Эта встреча абсолютно ненужная.","unnecessary, unneeded

## Footnote

This meeting is completely unnecessary."
"# Translate:

глянуть

## Footnote

Глянь сюда!","look, glance

## Footnote

Look here!"
"# Translate:

немалый

## Footnote

Она внесла немалый вклад.","significant, considerable

## Footnote

She made a significant contribution."
"# Translate:

баня

## Footnote

Мы отдыхали в местной бане.","bathhouse, sauna

## Footnote

We relaxed at the local bathhouse."
"# Translate:

открыто

## Footnote

Он открыто выразил свои мнения.","openly, open

## Footnote

He openly expressed his opinions."
"# Translate:

миновать

## Footnote

Опасность скоро минует.","to pass, to bypass

## Footnote

The danger will pass soon."
"# Translate:

передовой

## Footnote

Это передовой метод.","advanced, cutting-edge

## Footnote

This is an advanced method."
"# Translate:

дарить

## Footnote

Я люблю дарить подарки.","to give, to present

## Footnote

I love to give gifts."
"# Translate:

потрясать

## Footnote

Его слова потрясают нас.","to amaze

## Footnote

His words amaze us."
"# Translate:

тупой

## Footnote

Нож слишком тупой.","dull, blunt

## Footnote

The knife is too dull."
"# Translate:

плоский

## Footnote

Эта поверхность плоская.","flat, plane (adjective)

## Footnote

This surface is flat."
"# Translate:

церемония

## Footnote

Церемония свадьбы была красивой.","ceremony, ritual

## Footnote

The wedding ceremony was beautiful."
"# Translate:

ступенька

## Footnote

Осторожно, ступенька!","step, rung

## Footnote

Watch your step!"
"# Translate:

переносить

## Footnote

Мы переносим встречу.","to transfer, to postpone

## Footnote

We are postponing the meeting."
"# Translate:

большевик

## Footnote

Большевик взял власть.","Bolshevik

## Footnote

The Bolshevik took power."
"# Translate:

возбуждение

## Footnote

Его возбуждение росло.","excitement

## Footnote

His excitement grew."
"# Translate:

живопись

## Footnote

Я люблю живопись.","painting (art)

## Footnote

I love painting."
"# Translate:

советник

## Footnote

Он мой советник.","advisor, counselor

## Footnote

He is my advisor."
"# Translate:

оригинал

## Footnote

Я нашёл оригинал картины.","original

## Footnote

I found the original of the painting."
"# Translate:

предстоящий

## Footnote

Предстоящий бой будет трудным.","upcoming, forthcoming

## Footnote

The upcoming fight will be hard."
"# Translate:

соперник

## Footnote

Он победил своего соперника.","rival, competitor

## Footnote

He defeated his rival."
"# Translate:

поручить

## Footnote

Я поручу тебе это задание.","entrust, assign

## Footnote

I will entrust you with this task."
"# Translate:

балл

## Footnote

Он получил высокий балл.","point, score

## Footnote

He got a high score."
"# Translate:

бокал

## Footnote

Он поднял бокал.","wine glass, goblet

## Footnote

He raised the wine glass."
"# Translate:

юбка

## Footnote

Она купила новую красную юбку.","skirt

## Footnote

She bought a new red skirt."
"# Translate:

экспорт

## Footnote

Экспорт нефти растёт.","export, exports

## Footnote

Oil exports are growing."
"# Translate:

драться

## Footnote

Мальчики дрались во дворе.","to fight, to scuffle

## Footnote

The boys fought in the yard."
"# Translate:

конституционный

## Footnote

Это конституционный закон.","constitutional

## Footnote

This is a constitutional law."
"# Translate:

вспышка

## Footnote

В небе была яркая вспышка.","flash, flare

## Footnote

There was a bright flash in the sky."
"# Translate:

стабильность

## Footnote

Нам сейчас нужна большая стабильность.","stability, steadiness

## Footnote

We need greater stability now."
"# Translate:

прохожий

## Footnote

Прохожий спросил дорогу.","passerby, pedestrian

## Footnote

A passerby asked the way."
"# Translate:

разведчик

## Footnote

Разведчик видел врага.","scout, intelligence agent

## Footnote

The scout saw the enemy."
"# Translate:

нищий

## Footnote

Нищий попросил немного еды.","beggar, pauper

## Footnote

The beggar asked for some food."
"# Translate:

разрешать

## Footnote

Мать не разрешает мне идти.","to allow, to permit

## Footnote

Mother does not allow me to go."
"# Translate:

обнаруживать

## Footnote

Собака обнаруживает врага.","to detect, to discover

## Footnote

The dog detects the enemy."
"# Translate:

альтернативный

## Footnote

Рассмотрите альтернативное решение.","alternative, alternate

## Footnote

Consider an alternative solution."
"# Translate:

функциональный

## Footnote

Приложение теперь полностью функционально.","functional, operational

## Footnote

The app is fully functional now."
"# Translate:

инспектор

## Footnote

Инспектор тщательно изучил документы.","inspector

## Footnote

The inspector examined the documents carefully."
"# Translate:

налить

## Footnote

Пожалуйста, налейте мне немного воды.","pour, fill

## Footnote

Please pour me some water."
"# Translate:

понести

## Footnote

Он понёс сумку домой.","to carry, to bear

## Footnote

He carried the bag home."
"# Translate:

возрасти

## Footnote

Цены быстро возросли.","grow, increase

## Footnote

Prices grew fast."
"# Translate:

интерпретация

## Footnote

Это моя интерпретация.","interpretation, rendition

## Footnote

This is my interpretation."
"# Translate:

отвернуться

## Footnote

Она отвернулась от окна.","turn away, turn around

## Footnote

She turned away from the window."
"# Translate:

свинья

## Footnote

Свинья лежит в грязи.","pig, swine

## Footnote

The pig lies in the mud."
"# Translate:

потрясти

## Footnote

Новость потрясет общество.","shake, impress

## Footnote

The news will shake society."
"# Translate:

рациональный

## Footnote

Выберите рациональное решение.","rational, reasonable

## Footnote

Choose a rational solution."
"# Translate:

попадаться

## Footnote

Он старался не попадаться.","to be caught, to come across

## Footnote

He tried not to be caught."
"# Translate:

предъявить

## Footnote

Пожалуйста, предъявите ваш билет.","present, produce

## Footnote

Please present your ticket."
"# Translate:

скорее

## Footnote

Я бы скорее остался дома сегодня.","rather, more likely

## Footnote

I'd rather stay home today."
"# Translate:

латинский

## Footnote

Я изучаю латинский в университете.","Latin, Latin language

## Footnote

I study Latin at university."
"# Translate:

прибавить

## Footnote

Прибавьте сахар.","to add

## Footnote

Add sugar."
"# Translate:

охотно

## Footnote

Она охотно поделилась своим обедом.","willingly, gladly

## Footnote

She willingly shared her lunch."
"# Translate:

воспитывать

## Footnote

Она воспитывает сына.","to educate, to bring up

## Footnote

She brings up her son."
"# Translate:

железо

## Footnote

Железо — металл.","iron

## Footnote

Iron is a metal."
"# Translate:

госпиталь

## Footnote

Он лежит в госпитале.","hospital

## Footnote

He is in the hospital."
"# Translate:

поменять

## Footnote

Мне нужно поменять одежду.","change, exchange

## Footnote

I need to change my clothes."
"# Translate:

ванна

## Footnote

Я принимаю ванну.","bath, bathtub

## Footnote

I take a bath."
"# Translate:

хрен

## Footnote

Я добавил хрен.","horseradish

## Footnote

I added horseradish."
"# Translate:

оторвать

## Footnote

Она оторвала лист.","to tear off, to detach

## Footnote

She tore off the page."
"# Translate:

климат

## Footnote

Климат здесь холодный.","climate

## Footnote

The climate here is cold."
"# Translate:

лук

## Footnote

Лук лежит здесь.","onion, bow

## Footnote

The onion is here."
"# Translate:

целевой

## Footnote

Это целевая группа.","target, goal-oriented

## Footnote

This is the target group."
"# Translate:

постройка

## Footnote

Постройка заняла два года.","construction, building

## Footnote

The construction took two years."
"# Translate:

сопровождаться

## Footnote

Дождь сопровождался ветром.","to be accompanied, to be accompanied by

## Footnote

The rain was accompanied by wind."
"# Translate:

старость

## Footnote

Старость приносит мудрость.","old age

## Footnote

Old age brings wisdom."
"# Translate:

разнообразие

## Footnote

Я люблю разнообразие.","diversity, variety

## Footnote

I love diversity."
"# Translate:

первичный

## Footnote

Это первичная информация.","primary, initial

## Footnote

This is primary information."
"# Translate:

администратор

## Footnote

Администратор открыл зал.","administrator, manager

## Footnote

The administrator opened the hall."
"# Translate:

сопровождение

## Footnote

Это музыкальное сопровождение.","accompaniment

## Footnote

This is musical accompaniment."
"# Translate:

кожаный

## Footnote

Это кожаная куртка.","leather

## Footnote

This is a leather jacket."
"# Translate:

змея

## Footnote

Змея лежит в траве.","snake, serpent

## Footnote

The snake lies in the grass."
"# Translate:

грустно

## Footnote

Он грустно сказал это.","sadly, sorrowfully

## Footnote

He said this sadly."
"# Translate:

биография

## Footnote

Я читал его биографию.","biography

## Footnote

I read his biography."
"# Translate:

отверстие

## Footnote

В стене есть отверстие.","hole

## Footnote

There is a hole in the wall."
"# Translate:

экспертиза

## Footnote

Нужна экспертиза дома.","expert assessment

## Footnote

The house needs an expert assessment."
"# Translate:

гордый

## Footnote

Он гордый отец.","proud

## Footnote

He is a proud father."
"# Translate:

рюкзак

## Footnote

Где мой рюкзак?","backpack

## Footnote

Where is my backpack?"
"# Translate:

строение

## Footnote

Это старое строение.","building, structure

## Footnote

This is an old building."
"# Translate:

кружка

## Footnote

Дай мне кружку.","mug, cup

## Footnote

Give me a mug."
"# Translate:

ноутбук

## Footnote

Я купил новый ноутбук.","laptop

## Footnote

I bought a new laptop."
"# Translate:

поклонник

## Footnote

У неё есть поклонник.","admirer, fan

## Footnote

She has an admirer."
"# Translate:

покончить

## Footnote

Покончи с этим.","put an end to, finish

## Footnote

Put an end to this."
"# Translate:

травма

## Footnote

У него травма руки.","injury

## Footnote

He has a hand injury."
"# Translate:

скучный

## Footnote

Этот фильм скучный.","boring, dull

## Footnote

This movie is boring."
"# Translate:

крутить

## Footnote

Не крути это.","twist, spin

## Footnote

Don't twist this."
"# Translate:

стремительно

## Footnote

Он стремительно растёт.","rapidly, swiftly

## Footnote

He grows rapidly."
"# Translate:

сорвать

## Footnote

Он сорвал цветок.","pluck, tear off

## Footnote

He plucked a flower."
"# Translate:

ежедневный

## Footnote

Это моя ежедневная работа.","daily, everyday

## Footnote

This is my daily work."
"# Translate:

адмирал

## Footnote

Адмирал ждёт нас.","admiral

## Footnote

The admiral waits for us."
"# Translate:

походить

## Footnote

Ты походишь на отца.","resemble, look like

## Footnote

You resemble your father."
"# Translate:

прислушиваться

## Footnote

Я прислушиваюсь к нему.","listen, heed

## Footnote

I listen to him."
"# Translate:

аж

## Footnote

Он ждал аж час.","as much as, a whole

## Footnote

He waited a whole hour."
"# Translate:

дура

## Footnote

Она полная дура.","fool, idiot

## Footnote

She is a complete fool."
"# Translate:

обязать

## Footnote

Его обязали ждать.","to compel

## Footnote

They compelled him to wait."
"# Translate:

бедро

## Footnote

У меня болит бедро.","thigh, hip

## Footnote

My thigh hurts."
"# Translate:

потомок

## Footnote

Он потомок царя.","descendant, offspring

## Footnote

He is a descendant of the tsar."
