Question,Answer
"# Translate:

перерезать

## Footnote

Он перерезал канат ножом.","cut, sever

## Footnote

He cut the rope with a knife."
"# Translate:

покаяние

## Footnote

Его покаяние искреннее.","repentance

## Footnote

His repentance is sincere."
"# Translate:

исцеление

## Footnote

Ему нужно исцеление.","healing, cure

## Footnote

He needs healing."
"# Translate:

одержимый

## Footnote

Он одержим страхом.","possessed, obsessed

## Footnote

He is possessed by fear."
"# Translate:

военнопленный

## Footnote

Он стал военнопленным.","prisoner of war, POW

## Footnote

He became a prisoner of war."
"# Translate:

нововведение

## Footnote

Это полезное нововведение.","innovation

## Footnote

This is a useful innovation."
"# Translate:

эвакуировать

## Footnote

Надо эвакуировать здание.","evacuate

## Footnote

We need to evacuate the building."
"# Translate:

натягивать

## Footnote

Он натягивает холст.","to stretch, to tighten

## Footnote

He is stretching the canvas."
"# Translate:

лихой

## Footnote

Он лихой парень.","daring, reckless

## Footnote

He is a daring guy."
"# Translate:

рельеф

## Footnote

Горный рельеф красив.","terrain, relief

## Footnote

The mountain terrain is beautiful."
"# Translate:

прощальный

## Footnote

Это прощальное письмо.","farewell, parting

## Footnote

This is a farewell letter."
"# Translate:

коммерция

## Footnote

Он изучает коммерцию.","commerce, trade

## Footnote

He studies commerce."
"# Translate:

алкоголизм

## Footnote

Алкоголизм разрушил его семью.","alcoholism

## Footnote

Alcoholism destroyed his family."
"# Translate:

безобразный

## Footnote

Эта скульптура безобразная.","ugly, monstrous

## Footnote

This sculpture is ugly."
"# Translate:

тугой

## Footnote

Крышка слишком тугая.","tight, stiff

## Footnote

The lid is too tight."
"# Translate:

этак

## Footnote

Сделай этак.","like this, that way

## Footnote

Do it like this."
"# Translate:

растворяться

## Footnote

Сахар растворяется в воде.","dissolve

## Footnote

Sugar dissolves in water."
"# Translate:

чужак

## Footnote

Он чувствовал себя чужаком.","stranger, outsider

## Footnote

He felt like a stranger."
"# Translate:

приведение

## Footnote

Нужно приведение к общей форме.","reduction, bringing

## Footnote

Reduction to a common form is needed."
"# Translate:

лом

## Footnote

Он открыл ящик ломом.","crowbar, scrap metal

## Footnote

He opened the box with a crowbar."
"# Translate:

крестьянство

## Footnote

Крестьянство восстало против дворян.","peasantry

## Footnote

The peasantry rose against the nobles."
"# Translate:

нары

## Footnote

Солдаты спали на нарах.","bunks, berths

## Footnote

The soldiers slept on the bunks."
"# Translate:

шарф

## Footnote

У неё шарф на шее.","scarf

## Footnote

She has a scarf around her neck."
"# Translate:

подтянуть

## Footnote

Подтяните винты.","tighten, pull up

## Footnote

Tighten the screws."
"# Translate:

забираться

## Footnote

Он забирается на чердак.","to climb up into

## Footnote

He is climbing up into the attic."
"# Translate:

декан

## Footnote

Декан говорит со студентом.","dean

## Footnote

The dean is speaking with a student."
"# Translate:

отмахнуться

## Footnote

Он отмахнулся от вопроса.","to wave off, to brush off

## Footnote

He waved off the question."
