Question,Answer
"# Translate:

and

## Footnote

The book and the table.","и

## Footnote

Книга и стол."
"# Translate:

in

## Footnote

I live in the city.","в

## Footnote

Я живу в городе."
"# Translate:

no

## Footnote

No, I do not want this.","нет

## Footnote

Нет, я не хочу это."
"# Translate:

on

## Footnote

The book is on the table.","на

## Footnote

Книга на столе."
"# Translate:

I

## Footnote

I know this.","я

## Footnote

Я знаю это."
"# Translate:

what

## Footnote

What did you say?","что

## Footnote

Что вы сказали?"
"# Translate:

to be

## Footnote

I want to be a friend.","быть

## Footnote

Я хочу быть другом."
"# Translate:

with

## Footnote

I go with my friend.","с

## Footnote

Я иду с моим другом."
"# Translate:

he

## Footnote

He is reading a book.","он

## Footnote

Он читает книгу."
"# Translate:

but

## Footnote

I want this, but not that.","а

## Footnote

Я хочу это, а не то."
"# Translate:

this

## Footnote

This is my book.","это

## Footnote

Это моя книга."
"# Translate:

how

## Footnote

How did you do that?","как

## Footnote

Как вы это сделали?"
"# Translate:

that

## Footnote

I want that.","то

## Footnote

Я хочу то."
"# Translate:

to

## Footnote

I go to my friend.","к

## Footnote

Я иду к другу."
"# Translate:

they

## Footnote

They will come this evening.","они

## Footnote

Они придут сегодня вечером."
"# Translate:

we

## Footnote

We go to the city.","мы

## Footnote

Мы идем в город."
"# Translate:

she

## Footnote

She is reading a book.","она

## Footnote

Она читает книгу."
"# Translate:

which

## Footnote

The book which I read is new.","который

## Footnote

Книга, которую я читал, новая."
"# Translate:

from

## Footnote

I am from this city.","из

## Footnote

Я из этого города."
"# Translate:

near

## Footnote

I live near the house.","у

## Footnote

Я живу у дома."
"# Translate:

own

## Footnote

She wants her own house.","свой

## Footnote

Она хочет свой дом."
"# Translate:

you

## Footnote

How are you feeling today?","вы

## Footnote

Как вы себя чувствуете сегодня?"
"# Translate:

whole

## Footnote

I know the whole city.","весь

## Footnote

Я знаю весь город."
"# Translate:

behind

## Footnote

The car is behind the house.","за

## Footnote

Машина за домом."
"# Translate:

for

## Footnote

This is for you.","для

## Footnote

Это для вас."
"# Translate:

about

## Footnote

She wrote a book about history.","о

## Footnote

Она написала книгу об истории."
"# Translate:

so

## Footnote

I think so.","так

## Footnote

Я так думаю."
"# Translate:

can

## Footnote

I can do this.","мочь

## Footnote

Я могу это сделать."
"# Translate:

though

## Footnote

Though he is young, he knows this.","хотя

## Footnote

Хотя он молодой, он знает это."
"# Translate:

year

## Footnote

I worked there for a year.","год

## Footnote

Я работал там год."
"# Translate:

person

## Footnote

This person is my friend.","человек

## Footnote

Этот человек мой друг."
"# Translate:

one

## Footnote

I have one book.","один

## Footnote

У меня есть одна книга."
"# Translate:

such

## Footnote

It is such a big house.","такой

## Footnote

Это такой большой дом."
"# Translate:

or

## Footnote

This or that?","или

## Footnote

Это или то?"
"# Translate:

if

## Footnote

If you want, I can go.","если

## Footnote

Если вы хотите, я могу идти."
"# Translate:

only

## Footnote

I only know this.","только

## Footnote

Я знаю только это."
"# Translate:

would

## Footnote

I would go if I could.","бы

## Footnote

Я бы пошел, если бы мог."
"# Translate:

oneself

## Footnote

One must always know oneself.","себя

## Footnote

Надо всегда знать себя."
"# Translate:

time

## Footnote

Time waits for no one.","время

## Footnote

Время никого не ждет."
"# Translate:

when

## Footnote

When do you go?","когда

## Footnote

Когда вы идете?"
