Question,Answer
"# Translate:

овощ

## Footnote

Купи свежие овощи.","vegetable, veggie

## Footnote

Buy fresh vegetables."
"# Translate:

противостоять

## Footnote

Мы должны противостоять врагу.","to resist, to withstand

## Footnote

We must resist the enemy."
"# Translate:

сновидение

## Footnote

У меня было странное сновидение.","dream, vision

## Footnote

I had a strange dream."
"# Translate:

виновный

## Footnote

Он чувствовал себя виновным за ложь.","guilty, culpable

## Footnote

He felt guilty for the lie."
"# Translate:

фокус

## Footnote

Он показал новый фокус.","trick

## Footnote

He showed a new trick."
"# Translate:

обозначать

## Footnote

Этот знак обозначает выход.","denote, indicate

## Footnote

This sign indicates the exit."
"# Translate:

пожарный

## Footnote

Пожарный бежит к дому.","firefighter, fireman

## Footnote

The firefighter runs to the house."
"# Translate:

болтать

## Footnote

Мы болтаем за чаем.","to chat

## Footnote

We chat over tea."
"# Translate:

проживание

## Footnote

Проживание здесь дорого.","living

## Footnote

Living here is expensive."
"# Translate:

связаться

## Footnote

Мне нужно связаться с другом.","to contact, to get in touch

## Footnote

I need to contact my friend."
"# Translate:

отражаться

## Footnote

Луна отражается в воде.","to reflect, to be reflected

## Footnote

The moon is reflected in the water."
"# Translate:

одевать

## Footnote

Она одевает сына.","to dress

## Footnote

She is dressing her son."
"# Translate:

симптом

## Footnote

Это симптом болезни.","symptom, sign

## Footnote

This is a symptom of disease."
"# Translate:

переулок

## Footnote

Кот идёт по переулку.","alley, lane

## Footnote

A cat walks down the alley."
"# Translate:

бочка

## Footnote

Бочка полна вина.","barrel, drum

## Footnote

The barrel is full of wine."
"# Translate:

одеваться

## Footnote

Мне нужно одеваться сейчас.","to dress, to get dressed

## Footnote

I need to get dressed now."
"# Translate:

поворачиваться

## Footnote

Он всегда поворачивается к двери.","to turn, to rotate

## Footnote

He always turns to the door."
"# Translate:

сомнительный

## Footnote

Его ответ сомнительный.","doubtful, questionable

## Footnote

His answer is doubtful."
"# Translate:

развести

## Footnote

Разведи сок водой.","divorce, dilute

## Footnote

Dilute the juice with water."
"# Translate:

болезненный

## Footnote

Это болезненный удар.","painful, morbid

## Footnote

This is a painful blow."
"# Translate:

осколок

## Footnote

Он наступил на острый осколок.","shard, fragment

## Footnote

He stepped on a sharp shard."
"# Translate:

регулировать

## Footnote

Регулируй свет.","regulate, adjust

## Footnote

Adjust the light."
"# Translate:

ось

## Footnote

Это ось колеса.","axis, axle

## Footnote

This is the wheel's axle."
"# Translate:

тяжкий

## Footnote

Это тяжкое преступление.","grave, grievous

## Footnote

This is a grave crime."
"# Translate:

плоскость

## Footnote

Нарисуй линию на плоскости.","plane, surface

## Footnote

Draw a line on the plane."
"# Translate:

раскрывать

## Footnote

Не раскрывай секрет.","to reveal, to disclose

## Footnote

Don't reveal the secret."
"# Translate:

закрепить

## Footnote

Закрепи картину на стене.","secure, fasten

## Footnote

Fasten the painting on the wall."
"# Translate:

дистанция

## Footnote

Держи дистанцию от огня.","distance, range

## Footnote

Keep your distance from the fire."
"# Translate:

прилететь

## Footnote

Они прилетят завтра.","to arrive by air, to fly in

## Footnote

They will fly in tomorrow."
"# Translate:

годовой

## Footnote

Годовой доклад уже готов.","annual, yearly

## Footnote

The annual report is already ready."
"# Translate:

увлечение

## Footnote

Музыка — моё увлечение.","hobby, passion

## Footnote

Music is my hobby."
"# Translate:

обследование

## Footnote

Врач начал обследование.","examination, survey

## Footnote

The doctor started the examination."
"# Translate:

дрова

## Footnote

Нам нужны дрова для печи.","firewood, logs

## Footnote

We need firewood for the stove."
"# Translate:

мадам

## Footnote

Добрый вечер, мадам.","madam, ma'am

## Footnote

Good evening, madam."
"# Translate:

отступить

## Footnote

Армия решила отступить.","retreat, withdraw

## Footnote

The army decided to retreat."
"# Translate:

терроризм

## Footnote

Терроризм угрожает миру.","terrorism

## Footnote

Terrorism threatens peace."
"# Translate:

респондент

## Footnote

Респондент ответил на вопрос.","respondent

## Footnote

The respondent answered a question."
"# Translate:

обряд

## Footnote

Это старый обряд.","rite, ceremony

## Footnote

This is an old rite."
"# Translate:

нестись

## Footnote

Он несётся к выходу.","to rush, to race

## Footnote

He is rushing to the exit."
