123	She sat between her mother and father.	Она сидела между матерью и отцом.
172	They seem good.	Они кажутся хорошими.
313	He is among people.	Он среди людей.
350	Since you know this, I can go.	Поскольку вы это знаете, я могу идти.
389	Long ago, I lived here.	Давно я жил здесь.
435	One meter is enough.	Одного метра достаточно.
470	He is a close friend.	Он близкий друг.
529	They have a separate room.	У них отдельная комната.
582	Every citizen can work.	Каждый гражданин может работать.
1303	I want to buy a domestic car.	Я хочу купить отечественную машину.
1575	Let's connect this wire to the computer.	Давайте соединим этот провод с компьютером.
2040	I have twelve books.	У меня двенадцать книг.
2491	Our plans coincide.	Наши планы совпадают.
2496	The fortification is near the city.	Укрепление находится рядом с городом.
2543	There is snow on the slope.	На склоне лежит снег.
2740	They saw a hostile army.	Они увидели вражескую армию.
3033	Indigenous people live here.	Коренной народ живёт здесь.
3147	There is a panel on the wall.	На стене есть панель.
3154	I feel sorrow.	Я чувствую печаль.
3198	He spoke with rage.	Он говорил с яростью.
3200	The stars sparkle.	Звёзды сверкают.
3235	There is asphalt on the road.	На дороге есть асфальт.
3322	I want to buy soap.	Я хочу купить мыло.
3406	Secure the picture on the wall.	Закрепите картину на стене.
3577	She will lay out the books.	Она выложит книги.
3968	He seemed indifferent to her pain.	Он казался равнодушным к её боли.
4029	The diameter is one meter.	Диаметр равен одному метру.
4068	A run helps me.	Бег помогает мне.
4174	Her face reflected sadness.	На её лице отражалась грусть.
4278	Do not bring him to despair.	Не доводи его до отчаяния.
4730	Water can flow from here.	Отсюда может литься вода.
4764	The serf worked in the field.	Крепостной работал в поле.
4775	These books fit in one bag.	Эти книги укладываются в одну сумку.
5199	He is his father's successor.	Он преемник своего отца.
5207	She tiredly sat down.	Она устало села.
5296	Do not strain your back.	Не напрягай спину.
5350	I have a dozen books.	У меня дюжина книг.
5417	She likes to lay out her books.	Она любит выкладывать свои книги.
5603	Her face was expressive.	Её лицо было выразительным.
5810	He will burst out with a cry.	Он разразится криком.
5910	Check the layout of the house.	Проверьте расположение частей дома.
5951	They will coerce him into silence.	Они принудят его к молчанию.
6043	I want to rub my hand.	Я хочу потереть руку.
6107	This room is adjacent to the kitchen.	Эта комната смежная с кухней.
6517	I will fry an egg for breakfast.	Я буду жарить яйцо на завтрак.
6829	The gravitational field is strong.	Гравитационное поле сильное.
7213	Check the compatibility of the programs.	Проверьте совместимость программ.
7312	We need one cubic meter of water.	Нам нужен один кубический метр воды.
7391	Her face reflected despondency.	На её лице отражалось уныние.
7421	Her voice was mournful.	Её голос был скорбным.
7462	I cannot see through the glare.	Я не могу видеть из-за ослепительного света.
7511	This lake is bottomless.	Это озеро бездонное.
7557	I have difficulty with this question.	Я затрудняюсь с этим вопросом.
8256	We need one cubic meter of sand.	Нам нужен один кубометр песка.
8443	These words accentuate the difference.	Эти слова подчёркивают разницу.
8705	We wait for his advent.	Мы ждём его пришествия.
8910	The doll's face was lifeless.	Лицо куклы было безжизненным.
9971	The pastor spoke to the people.	Пастор говорил с людьми.
