Question,Answer
"# Translate:

to have to

## Footnote

I have to work today.","приходиться

## Footnote

Мне приходится работать сегодня."
"# Translate:

knowledge

## Footnote

Knowledge is power.","знание

## Footnote

Знание - сила."
"# Translate:

enter

## Footnote

Please enter the room.","войти

## Footnote

Пожалуйста, войдите в комнату."
"# Translate:

to offer

## Footnote

I want to offer this.","предложить

## Footnote

Я хочу предложить это."
"# Translate:

to begin

## Footnote

The meeting will begin soon.","начаться

## Footnote

Встреча скоро начнётся."
"# Translate:

ten

## Footnote

I have ten books.","десять

## Footnote

У меня десять книг."
"# Translate:

finger

## Footnote

Look at your finger.","палец

## Footnote

Посмотри на свой палец."
"# Translate:

usual

## Footnote

I did my usual work.","обычный

## Footnote

Я сделал свою обычную работу."
"# Translate:

organ

## Footnote

The heart is an important organ.","орган

## Footnote

Сердце - важный орган."
"# Translate:

dollar

## Footnote

I will find a dollar.","доллар

## Footnote

Я найду доллар."
"# Translate:

to hold

## Footnote

Hold my hand.","держать

## Footnote

Держи мою руку."
"# Translate:

title

## Footnote

What is the title of the book?","название

## Footnote

Какое название у книги?"
"# Translate:

participation

## Footnote

His participation is important.","участие

## Footnote

Его участие важно."
"# Translate:

to arrive

## Footnote

They want to arrive today.","приехать (на транспорте); прибыть

## Footnote

Они хотят приехать сегодня."
"# Translate:

large

## Footnote

This is a large city.","крупный

## Footnote

Это крупный город."
"# Translate:

sea

## Footnote

I see the sea.","море

## Footnote

Я вижу море."
"# Translate:

nature

## Footnote

I love nature.","природа

## Footnote

Я люблю природу."
"# Translate:

store

## Footnote

I am at the store.","магазин

## Footnote

Я в магазине."
"# Translate:

like

## Footnote

This is like that.","вроде

## Footnote

Это вроде того."
"# Translate:

memory

## Footnote

I have a good memory.","память

## Footnote

У меня хорошая память."
"# Translate:

larger

## Footnote

This quantity is larger.","больше

## Footnote

Это количество больше."
"# Translate:

home

## Footnote

I am going home now.","домой (направление); дома (местонахождение); дом

## Footnote

Я иду домой сейчас."
"# Translate:

object

## Footnote

I see the object.","объект

## Footnote

Я вижу объект."
"# Translate:

freedom

## Footnote

Freedom is important.","свобода

## Footnote

Свобода важна."
"# Translate:

product

## Footnote

This product is new.","продукт

## Footnote

Этот продукт новый."
"# Translate:

struggle

## Footnote

Life is a struggle.","борьба

## Footnote

Жизнь - это борьба."
"# Translate:

personal

## Footnote

This is personal information.","личный

## Footnote

Это личная информация."
"# Translate:

to touch

## Footnote

Do not touch this.","касаться

## Footnote

Не касайся этого."
"# Translate:

separate

## Footnote

They have a separate room.","отдельный

## Footnote

У них отдельная комната."
"# Translate:

to manage

## Footnote

I managed to do this before evening.","успеть (сделать вовремя); суметь

## Footnote

Я успел сделать это до вечера."
"# Translate:

subject

## Footnote

This subject is important.","предмет

## Footnote

Этот предмет важный."
"# Translate:

representative

## Footnote

He is our company's representative.","представитель

## Footnote

Он представитель нашей компании."
"# Translate:

shoulder

## Footnote

His hand is on my shoulder.","плечо

## Footnote

Его рука на моём плече."
"# Translate:

national

## Footnote

This is national culture.","национальный

## Footnote

Это национальная культура."
"# Translate:

music

## Footnote

I love to listen to music every day.","музыка

## Footnote

Я люблю слушать музыку каждый день."
"# Translate:

American

## Footnote

I know American history.","американский

## Footnote

Я знаю американскую историю."
"# Translate:

hero

## Footnote

He is a hero.","герой

## Footnote

Он герой."
"# Translate:

character

## Footnote

He has a strong character.","характер

## Footnote

У него сильный характер."
"# Translate:

size

## Footnote

What is the size of the house?","размер

## Footnote

Какой размер у дома?"
"# Translate:

drink

## Footnote

I want to drink water.","пить

## Footnote

Я хочу пить воду."
"# Translate:

middle

## Footnote

This is the middle window.","средний

## Footnote

Это среднее окно."
"# Translate:

term

## Footnote

His term is long.","срок

## Footnote

Его срок долгий."
"# Translate:

institute

## Footnote

The institute is here.","институт

## Footnote

Институт здесь."
"# Translate:

network

## Footnote

This network is big.","сеть

## Footnote

Эта сеть большая."
"# Translate:

sun

## Footnote

The sun is in the sky.","солнце

## Footnote

Солнце на небе."
"# Translate:

approach

## Footnote

He will approach the house.","подойти

## Footnote

Он подойдёт к дому."
"# Translate:

otherwise

## Footnote

Do this, otherwise I will leave.","иначе

## Footnote

Сделай это, иначе я уйду."
"# Translate:

to show

## Footnote

I show this to you.","показывать

## Footnote

Я показываю это вам."
"# Translate:

union

## Footnote

The union is strong.","союз

## Footnote

Союз сильный."
"# Translate:

spirit

## Footnote

He has a strong spirit.","дух

## Footnote

У него сильный дух."
"# Translate:

allow

## Footnote

Allow me to speak.","позволить

## Footnote

Позвольте мне говорить."
"# Translate:

internet

## Footnote

I will find this on the internet.","интернет

## Footnote

Я найду это в интернете."
"# Translate:

forest

## Footnote

We walked in the forest.","лес

## Footnote

Мы ходили в лесу."
"# Translate:

magazine

## Footnote

I read a new magazine.","журнал

## Footnote

Я читаю новый журнал."
"# Translate:

degree

## Footnote

The degree of change is important.","степень

## Footnote

Степень изменения важна."
"# Translate:

territory

## Footnote

This is our territory.","территория

## Footnote

Это наша территория."
"# Translate:

March

## Footnote

I work in March.","март

## Footnote

Я работаю в марте."
"# Translate:

success

## Footnote

He had success at work.","успех

## Footnote

У него был успех в работе."
"# Translate:

art

## Footnote

I love art.","искусство

## Footnote

Я люблю искусство."
"# Translate:

participant

## Footnote

He was a participant in the meeting.","участник

## Footnote

Он был участником встречи."
"# Translate:

guy

## Footnote

He's a good guy.","парень

## Footnote

Он хороший парень."
"# Translate:

free

## Footnote

He is a free man.","свободный; бесплатный

## Footnote

Он свободный человек."
"# Translate:

guest

## Footnote

We have a guest here.","гость

## Footnote

У нас здесь гость."
"# Translate:

option

## Footnote

This option is good.","вариант

## Footnote

Этот вариант хороший."
"# Translate:

sentence

## Footnote

Write a simple sentence.","предложение

## Footnote

Напишите простое предложение."
"# Translate:

fate

## Footnote

He will believe in fate.","судьба

## Footnote

Он будет верить в судьбу."
"# Translate:

to constitute

## Footnote

These people constitute a group.","составлять

## Footnote

Эти люди составляют группу."
"# Translate:

goods

## Footnote

We have new goods.","товар

## Footnote

У нас новые товары."
"# Translate:

to hope

## Footnote

I hope for this.","надеяться

## Footnote

Я надеюсь на это."
"# Translate:

to act

## Footnote

I must act now.","действовать

## Footnote

Мне надо действовать сейчас."
"# Translate:

international

## Footnote

This is an international problem.","международный

## Footnote

Это международная проблема."
"# Translate:

capable

## Footnote

She is capable of this.","способный

## Footnote

Она способна на это."
"# Translate:

practically

## Footnote

He is practically ready.","практически

## Footnote

Он практически готов."
"# Translate:

director

## Footnote

The director has a new project.","директор

## Footnote

У директора новый проект."
"# Translate:

late

## Footnote

This is a late answer.","поздний

## Footnote

Это поздний ответ."
"# Translate:

song

## Footnote

She has a song.","песня

## Footnote

У неё есть песня."
"# Translate:

happen

## Footnote

This can happen today.","случиться

## Footnote

Это может случиться сегодня."
"# Translate:

mind

## Footnote

He has a good mind.","ум

## Footnote

У него хороший ум."
"# Translate:

choice

## Footnote

This is my choice.","выбор

## Footnote

Это мой выбор."
"# Translate:

model

## Footnote

She is a model.","модель

## Footnote

Она модель."
"# Translate:

river

## Footnote

I see a river.","река

## Footnote

Я вижу реку."
"# Translate:

citizen

## Footnote

Every citizen can work.","гражданин

## Footnote

Каждый гражданин может работать."
"# Translate:

comrade

## Footnote

He is my comrade.","товарищ

## Footnote

Он мой товарищ."
