Question,Answer
"# Translate:

screen

## Footnote

Watch the movie on this screen.","экран

## Footnote

Смотрите фильм на этом экране."
"# Translate:

cute

## Footnote

That puppy is so cute!","милый

## Footnote

Этот щенок такой милый!"
"# Translate:

to perish

## Footnote

The sailors feared to perish at sea.","погибнуть

## Footnote

Моряки боялись погибнуть в море."
"# Translate:

traditional

## Footnote

We enjoy traditional Russian cuisine.","традиционный

## Footnote

Мы наслаждаемся традиционной русской кухней."
"# Translate:

to be healthy

## Footnote

I strive to be healthy daily.","здравствовать

## Footnote

Я стремлюсь здравствовать каждый день."
"# Translate:

transition

## Footnote

Life is a constant transition.","переход

## Footnote

Жизнь - это постоянный переход."
"# Translate:

bed

## Footnote

I made the bed this morning.","кровать

## Footnote

Я застелил кровать сегодня утром."
"# Translate:

dedicate

## Footnote

I dedicate this song to you.","посвятить

## Footnote

Я посвящаю эту песню тебе."
"# Translate:

lesson

## Footnote

I learned a valuable lesson today.","урок

## Footnote

Сегодня я усвоил ценный урок."
"# Translate:

sex

## Footnote

Sex is a natural human desire.","секс

## Footnote

Секс - это естественное человеческое желание."
"# Translate:

motherland

## Footnote

I miss my motherland deeply.","родина

## Footnote

Мне глубоко не хватает моей родины."
"# Translate:

wine

## Footnote

She savored the red wine slowly.","вино

## Footnote

Она медленно наслаждалась красным вином."
"# Translate:

zone

## Footnote

Stay within the safety zone.","зона

## Footnote

Оставайтесь в пределах зоны безопасности."
"# Translate:

knee

## Footnote

He injured his knee playing soccer.","колено

## Footnote

Он повредил колено, играя в футбол."
"# Translate:

to sound

## Footnote

The bell began to sound loudly.","звучать

## Footnote

Колокол начал громко звучать."
"# Translate:

colleague

## Footnote

I consulted my colleague today.","коллега

## Footnote

Я сегодня проконсультировался с коллегой."
"# Translate:

poor

## Footnote

He was too poor to buy food.","бедный

## Footnote

Он был слишком бедный, чтобы купить еду."
"# Translate:

appearance

## Footnote

His sudden appearance surprised everyone.","появление

## Footnote

Его внезапное появление удивило всех."
"# Translate:

edition

## Footnote

I bought the latest edition.","издание

## Footnote

Я купил последнее издание."
"# Translate:

sharply

## Footnote

He turned sharply at the corner.","резко

## Footnote

Он резко повернул на углу."
"# Translate:

to talk

## Footnote

I called her to talk things over.","поговорить

## Footnote

Я позвонил ей, чтобы поговорить."
"# Translate:

Jew

## Footnote

My friend is a proud Jew.","еврей

## Footnote

Мой друг - гордый еврей."
"# Translate:

budget

## Footnote

We exceeded our budget this month.","бюджет

## Footnote

Мы превысили наш бюджет в этом месяце."
"# Translate:

rarely

## Footnote

She rarely visits her hometown.","редко

## Footnote

Она редко посещает свой родной город."
"# Translate:

prince

## Footnote

The prince ruled his domain wisely.","князь

## Footnote

Князь мудро правил своим владением."
"# Translate:

floor

## Footnote

We live on the third floor.","этаж

## Footnote

Мы живем на третьем этаже."
"# Translate:

honor

## Footnote

He received the medal with honor.","честь

## Footnote

Он получил медаль с честью."
"# Translate:

to be required

## Footnote

Your presence is to be required tomorrow.","требоваться

## Footnote

Ваше присутствие будет требоваться завтра."
"# Translate:

remarkable

## Footnote

She has a remarkable singing talent.","замечательный

## Footnote

У неё замечательный певческий талант."
"# Translate:

cry

## Footnote

Babies often cry when hungry.","плакать

## Footnote

Младенцы часто плачут, когда голодны."
"# Translate:

need

## Footnote

Humans have a basic need for water.","потребность

## Footnote

У людей есть основная потребность в воде."
"# Translate:

invent

## Footnote

She will invent a new game.","придумать

## Footnote

Она придумает новую игру."
"# Translate:

debt

## Footnote

He finally paid off his debt.","долг

## Footnote

Он наконец погасил свой долг."
"# Translate:

temple

## Footnote

The temple stood magnificently on the hill.","храм

## Footnote

Храм величественно стоял на холме."
"# Translate:

come in

## Footnote

Please, come in and sit down.","заходить

## Footnote

Пожалуйста, заходите и садитесь."
"# Translate:

danger

## Footnote

Beware of danger ahead.","опасность

## Footnote

Остерегайтесь опасности впереди."
"# Translate:

deputy

## Footnote

The deputy proposed a new law.","депутат

## Footnote

Депутат предложил новый закон."
"# Translate:

enroll

## Footnote

I will enroll in university soon.","поступить

## Footnote

Я скоро поступлю в университет."
"# Translate:

to choose

## Footnote

I have to choose wisely.","выбирать

## Footnote

Мне нужно мудро выбирать."
"# Translate:

achieve

## Footnote

She aimed to achieve her dreams.","достигнуть

## Footnote

Она стремилась достигнуть своих мечт."
"# Translate:

save

## Footnote

Please save the document now.","сохранить

## Footnote

Пожалуйста, сохраните документ сейчас."
"# Translate:

depth

## Footnote

The ocean's depth is mesmerizing.","глубина

## Footnote

Глубина океана завораживает."
"# Translate:

category

## Footnote

Choose the right category.","категория

## Footnote

Выберите правильную категорию."
"# Translate:

hot

## Footnote

The soup is too hot to eat.","горячий

## Footnote

Суп слишком горячий, чтобы его есть."
"# Translate:

arrange

## Footnote

Let's arrange a surprise party.","устроить

## Footnote

Давайте устроим сюрприз-вечеринку."
"# Translate:

administration

## Footnote

The administration approved the project.","администрация

## Footnote

Администрация одобрила проект."
"# Translate:

organize

## Footnote

Let's organize a surprise party.","организовать

## Footnote

Давайте организуем сюрпризную вечеринку."
