Question,Answer
"# Translate:

wrinkled

## Footnote

Her shirt looked wrinkled and untidy.","arrugado

## Footnote

Su camisa se veía arrugada y desordenada."
"# Translate:

improvised

## Footnote

He has improvised a solution.","improvisado

## Footnote

Ha improvisado una solución."
"# Translate:

unexpected

## Footnote

The rain was completely unexpected.","imprevisto

## Footnote

La lluvia fue completamente imprevista."
"# Translate:

latent

## Footnote

Her talent was latent for years.","latente

## Footnote

Su talento estuvo latente durante años."
"# Translate:

passive

## Footnote

He remained passive during the argument.","pasivo

## Footnote

Permaneció pasivo durante la discusión."
"# Translate:

papal

## Footnote

The papal visit was highly anticipated.","papal

## Footnote

La visita papal fue muy esperada."
"# Translate:

sequel

## Footnote

The sequel disappointed many fans.","secuela

## Footnote

La secuela decepcionó a muchos fanáticos."
"# Translate:

jugular

## Footnote

He aimed for the jugular vein.","yugular

## Footnote

Apuntó a la vena yugular."
"# Translate:

layperson

## Footnote

Although I'm a layperson in medicine, I'm interested in the subject.","lego

## Footnote

Aunque soy lego en medicina, me interesa el tema."
"# Translate:

supernova

## Footnote

The supernova illuminated the night sky.","supernova

## Footnote

La supernova iluminó el cielo nocturno."
"# Translate:

to unpack

## Footnote

Let's unpack the suitcase now.","desempacar

## Footnote

Desempaquemos la maleta ahora."
"# Translate:

tenacious

## Footnote

She remained tenacious despite the challenges.","tenaz

## Footnote

Ella permaneció tenaz a pesar de los desafíos."
"# Translate:

subsidy

## Footnote

The government increased the farming subsidy.","subsidio

## Footnote

El gobierno aumentó el subsidio agrícola."
"# Translate:

toxicology

## Footnote

She studies toxicology at the university.","toxicología

## Footnote

Ella estudia toxicología en la universidad."
"# Translate:

lucid

## Footnote

He gave a lucid explanation.","lúcido

## Footnote

Él dio una explicación lúcida."
"# Translate:

indigenous

## Footnote

Indigenous cultures deserve respect and preservation.","indígena

## Footnote

Las culturas indígenas merecen respeto y preservación."
"# Translate:

unloading

## Footnote

The unloading of the vessel took place overnight.","alijo

## Footnote

El alijo de la nave se llevó a cabo durante la noche."
"# Translate:

hypothermia

## Footnote

Hypothermia can be life-threatening.","hipotermia

## Footnote

La hipotermia puede ser potencialmente mortal."
"# Translate:

candelabra

## Footnote

The candelabra flickered in the dark.","candelabro

## Footnote

El candelabro parpadeó en la oscuridad."
"# Translate:

uproar, loud noise

## Footnote

The concert ended with a loud noise.","estruendo

## Footnote

El concierto terminó en un estruendo."
"# Translate:

scratch

## Footnote

The cat left a scratch on me.","arañazo

## Footnote

El gato me dejó un arañazo."
"# Translate:

to edit

## Footnote

I need to edit this document.","editar

## Footnote

Necesito editar este documento."
"# Translate:

to filter

## Footnote

Filter the water to clean it.","filtrar

## Footnote

Filtra el agua para limpiarla."
"# Translate:

virility

## Footnote

He exuded confidence and virility.","virilidad

## Footnote

Desprendía confianza y virilidad."
"# Translate:

dehydration

## Footnote

Dehydration can cause severe headaches.","deshidratación

## Footnote

La deshidratación puede causar dolores de cabeza severos."
"# Translate:

to desert

## Footnote

He will desert his post tonight.","desertar

## Footnote

Él desertará su puesto esta noche."
"# Translate:

to locate you

## Footnote

I need to locate you now.","localizarte

## Footnote

Necesito localizarte ahora."
"# Translate:

you will save

## Footnote

You will save many lives.","salvarás

## Footnote

Salvarás muchas vidas."
"# Translate:

I tracked

## Footnote

I tracked the missing cat.","rastreé

## Footnote

Rastreé al gato perdido."
"# Translate:

to minimize

## Footnote

Minimize the screen, please.","minimizar

## Footnote

Minimiza la pantalla, por favor."
"# Translate:

beneficial

## Footnote

Exercise is beneficial for health.","beneficioso

## Footnote

El ejercicio es beneficioso para la salud."
"# Translate:

conjugal

## Footnote

They enjoyed their conjugal bliss quietly.","conyugal

## Footnote

Disfrutaron de su dicha conyugal en silencio."
"# Translate:

very beautiful

## Footnote

She looked very beautiful tonight.","bellísimo

## Footnote

Ella lucía bellísima esta noche."
"# Translate:

to demolish

## Footnote

They plan to demolish the old bridge.","demoler

## Footnote

Planean demoler el puente viejo."
"# Translate:

sucked

## Footnote

The vacuum cleaner sucked up the dirt.","chupado

## Footnote

La aspiradora ha chupado la suciedad."
"# Translate:

spell, curse

## Footnote

A spell put the princess to sleep for a hundred years.","encantamiento

## Footnote

Un encantamiento hizo dormir a la princesa durante cien años."
"# Translate:

negligent

## Footnote

He was negligent in his duties.","negligente

## Footnote

Fue negligente en sus deberes."
"# Translate:

drying

## Footnote

The drying of the clothes is quick outside.","secado

## Footnote

El secado de la ropa es rápido afuera."
"# Translate:

I smoked

## Footnote

I smoked a cigar.","fumé

## Footnote

Fumé un cigarro."
"# Translate:

I canceled

## Footnote

I canceled our dinner plans.","cancelé

## Footnote

Cancelé nuestros planes de cena."
"# Translate:

emphatically

## Footnote

She emphatically denied the accusations.","rotundamente

## Footnote

Ella negó rotundamente las acusaciones."
"# Translate:

toothpick

## Footnote

I need a toothpick after dinner.","palillo

## Footnote

Necesito un palillo después de cenar."
"# Translate:

archaeologist

## Footnote

The archaeologist discovered ancient ruins.","arqueólogo

## Footnote

El arqueólogo descubrió ruinas antiguas."
"# Translate:

exodus

## Footnote

The exodus began at dawn.","éxodo

## Footnote

El éxodo comenzó al amanecer."
"# Translate:

Eskimo

## Footnote

The Eskimo wore a thick, fur coat.","esquimal

## Footnote

El esquimal llevaba un abrigo grueso de piel."
"# Translate:

to give up

## Footnote

Don't give up on your dreams.","desistir

## Footnote

No desistas de tus sueños."
"# Translate:

Smurf

## Footnote

I dressed up as a Smurf.","pitufo

## Footnote

Me disfracé de un pitufo."
"# Translate:

glass cabinet, display cabinet

## Footnote

Laura displays her bell collection in a glass cabinet.","vitrina

## Footnote

Laura exhibe su colección de campanas en una vitrina."
"# Translate:

dragged

## Footnote

The leaf was dragged by the wind.","arrastrada

## Footnote

La hoja fue arrastrada por el viento."
"# Translate:

pronounced

## Footnote

His accent was very pronounced.","pronunciado

## Footnote

Su acento era muy pronunciado."
"# Translate:

existing

## Footnote

All existing evidence supports this theory.","existente

## Footnote

Toda la evidencia existente respalda esta teoría."
"# Translate:

attachment

## Footnote

Her attachment to the necklace was strong.","apego

## Footnote

Su apego al collar era fuerte."
"# Translate:

assume (imperative, usted)

## Footnote

Never assume you understand completely.","asuma

## Footnote

Nunca asuma que entiende completamente."
"# Translate:

magically

## Footnote

The room magically lit up.","mágicamente

## Footnote

La habitación se iluminó mágicamente."
"# Translate:

to stink

## Footnote

Your shoes are really starting to stink.","apestar

## Footnote

Tus zapatos realmente empiezan a apestar."
"# Translate:

export

## Footnote

Germany will export cars worldwide.","exportación

## Footnote

Alemania realizará exportaciones de autos a nivel mundial."
"# Translate:

to rewrite

## Footnote

I must rewrite this entire paragraph.","reescribir

## Footnote

Debo reescribir este párrafo entero."
"# Translate:

oil tanker

## Footnote

The oil tanker spilled its cargo.","petrolero

## Footnote

El petrolero derramó su carga."
"# Translate:

excluded

## Footnote

She felt excluded from the group.","excluido

## Footnote

Ella se sintió excluida del grupo."
"# Translate:

layout

## Footnote

The layout of the city is complex.","trazado

## Footnote

El trazado de la ciudad es complejo."
"# Translate:

commonly

## Footnote

Commonly used phrases are easily recognized.","comúnmente

## Footnote

Las frases comúnmente utilizadas son fácilmente reconocidas."
"# Translate:

I fished

## Footnote

Yesterday, I fished at the lake.","pesqué

## Footnote

Ayer, pesqué en el lago."
"# Translate:

chrome

## Footnote

The car's chrome shone brilliantly.","cromo

## Footnote

El cromo del coche brillaba intensamente."
"# Translate:

to counteract

## Footnote

Medicine can counteract the poison's effects.","contrarrestar

## Footnote

La medicina puede contrarrestar los efectos del veneno."
"# Translate:

I will choose

## Footnote

I will choose the red dress.","elegiré

## Footnote

Elegiré el vestido rojo."
"# Translate:

I fall in love

## Footnote

I fall in love easily.","Me enamoro

## Footnote

Me enamoro fácilmente."
"# Translate:

filth

## Footnote

The room was full of filth.","inmundicia

## Footnote

La habitación estaba llena de inmundicia."
"# Translate:

questionable

## Footnote

His motives are highly questionable.","cuestionable

## Footnote

Sus motivos son altamente cuestionables."
"# Translate:

clairvoyant

## Footnote

The clairvoyant predicted her success.","clarividente

## Footnote

El clarividente predijo su éxito."
"# Translate:

denounced

## Footnote

He was denounced as a traitor.","delatado

## Footnote

Fue delatado como un traidor."
"# Translate:

to scare

## Footnote

The movie aimed to scare viewers.","espantar

## Footnote

La película buscaba espantar a los espectadores."
"# Translate:

digestion

## Footnote

Good digestion is essential for health.","digestión

## Footnote

Una buena digestión es esencial para la salud."
"# Translate:

we read (past)

## Footnote

Yesterday, we read an interesting book.","leímos

## Footnote

Ayer, leímos un libro interesante."
"# Translate:

you suffered

## Footnote

You suffered greatly last year.","sufriste

## Footnote

Sufriste mucho el año pasado."
"# Translate:

chimera

## Footnote

The chimera haunted his dreams nightly.","quimera

## Footnote

La quimera atormentaba sus sueños todas las noches."
"# Translate:

concentrate (imperative, usted)

## Footnote

Please concentrate on your work.","concéntrese

## Footnote

Por favor, concéntrese en su trabajo."
"# Translate:

tourniquet

## Footnote

Apply the tourniquet to stop bleeding.","torniquete

## Footnote

Aplica el torniquete para detener el sangrado."
"# Translate:

to balance

## Footnote

Maintain balance in your life.","equilibrar

## Footnote

Intenta equilibrar tu vida."
"# Translate:

packed

## Footnote

The box was securely packed.","empacado

## Footnote

La caja estaba empacada de forma segura."
"# Translate:

leisure

## Footnote

I enjoy reading at my leisure.","ocio

## Footnote

Disfruto leyendo en mi ocio."
"# Translate:

release (imperative, vosotros)

## Footnote

Please release the rope slowly.","soltad

## Footnote

Por favor, soltad la cuerda despacio."
"# Translate:

stealthily

## Footnote

He stealthily entered the room.","sigilosamente

## Footnote

Entró sigilosamente en la habitación."
"# Translate:

continued

## Footnote

The meeting continued for two hours.","continuado

## Footnote

La reunión ha continuado durante dos horas."
"# Translate:

we will face

## Footnote

We will face challenges together.","enfrentaremos

## Footnote

Nos enfrentaremos a los desafíos juntos."
"# Translate:

you guessed

## Footnote

Yes, you guessed correctly!","adivinaste

## Footnote

Sí, ¡adivinaste correctamente!"
"# Translate:

to cheer

## Footnote

They gathered to cheer her up.","alegrar

## Footnote

Se reunieron para alegrarla."
"# Translate:

plow

## Footnote

Farmers plow fields before planting seeds.","arado

## Footnote

Los agricultores aran los campos antes de sembrar las semillas."
"# Translate:

drag

## Footnote

They drag the heavy box inside.","arrastran

## Footnote

Arrastran la caja pesada hacia adentro."
