Question,Answer
"# Translate:

марксизм

## Footnote

Он читает о марксизме.","Marxism

## Footnote

He reads about Marxism."
"# Translate:

въезд

## Footnote

Въезд сюда закрыт.","vehicle entry, entrance (for vehicles)

## Footnote

Vehicle entry here is closed."
"# Translate:

надлежать

## Footnote

Книгу надлежит вернуть завтра.","must, should, be required to

## Footnote

The book must be returned tomorrow."
"# Translate:

аварийный

## Footnote

Нажми аварийную кнопку.","emergency

## Footnote

Press the emergency button."
"# Translate:

чек

## Footnote

Принесите чек, пожалуйста.","receipt, check (banking)

## Footnote

Please bring the receipt."
"# Translate:

мраморный

## Footnote

Мраморный стол холодный.","marble

## Footnote

The marble table is cold."
"# Translate:

цент

## Footnote

Я нашёл цент на дороге.","cent, penny

## Footnote

I found a cent on the road."
"# Translate:

пятеро

## Footnote

Пятеро друзей уже здесь.","five, five people

## Footnote

Five friends are already here."
"# Translate:

патриотизм

## Footnote

Патриотизм ему важен.","patriotism

## Footnote

Patriotism is important to him."
"# Translate:

идеально

## Footnote

Всё прошло идеально.","perfectly

## Footnote

Everything went perfectly."
"# Translate:

доверить

## Footnote

Я доверю тебе ключ.","entrust, confide

## Footnote

I will entrust the key to you."
"# Translate:

хранитель

## Footnote

Он хранитель этого ключа.","keeper, guardian

## Footnote

He is the keeper of this key."
"# Translate:

вывеска

## Footnote

Вывеска висит над дверью.","signboard, sign

## Footnote

The sign hangs above the door."
"# Translate:

дань

## Footnote

Они платили дань царю.","tribute, levy

## Footnote

They paid tribute to the tsar."
"# Translate:

рыбный

## Footnote

Я люблю рыбный суп.","fish

## Footnote

I love fish soup."
"# Translate:

импортный

## Footnote

Это импортное вино.","imported

## Footnote

This is imported wine."
"# Translate:

ныть

## Footnote

Перестань ныть.","whine, moan

## Footnote

Stop whining."
"# Translate:

дворянин

## Footnote

Дворянин жил в большом доме.","nobleman

## Footnote

The nobleman lived in a big house."
"# Translate:

вдобавок

## Footnote

Вдобавок возьми хлеб.","in addition, moreover

## Footnote

In addition, take some bread."
"# Translate:

тринадцать

## Footnote

Ей исполнилось тринадцать.","thirteen

## Footnote

She turned thirteen."
"# Translate:

прекращать

## Footnote

Прекращай кричать.","to stop, to cease

## Footnote

Stop shouting."
"# Translate:

яхта

## Footnote

Яхта стоит у берега.","yacht

## Footnote

The yacht is by the shore."
"# Translate:

номинация

## Footnote

Он получил номинацию.","nomination

## Footnote

He received a nomination."
"# Translate:

дрогнуть

## Footnote

Он не дрогнул.","tremble, flinch

## Footnote

He did not flinch."
"# Translate:

песчаный

## Footnote

Пляж был очень песчаным.","sandy, sand

## Footnote

The beach was very sandy."
