Question,Answer
"# Translate:

давить

## Footnote

Сапог давит мне ногу.","to press, to crush

## Footnote

The boot presses my foot."
"# Translate:

усиление

## Footnote

Мы ждали усиления бури.","intensification, reinforcement

## Footnote

We waited for the storm's intensification."
"# Translate:

неверный

## Footnote

Он был неверен ей.","unfaithful, incorrect

## Footnote

He was unfaithful to her."
"# Translate:

группировка

## Footnote

Эта группировка опасна.","faction, gang

## Footnote

This faction is dangerous."
"# Translate:

люк

## Footnote

Открой люк.","hatch, manhole

## Footnote

Open the hatch."
"# Translate:

восьмой

## Footnote

Она закончила гонку на восьмом месте.","eighth, 8th

## Footnote

She finished the race in eighth place."
"# Translate:

турецкий

## Footnote

Я люблю турецкий кофе.","Turkish, Ottoman

## Footnote

I love Turkish coffee."
"# Translate:

претендовать

## Footnote

Она будет претендовать на звание чемпиона.","claim, aspire

## Footnote

She will claim the championship title."
"# Translate:

отобрать

## Footnote

Они отберут у тебя твои права.","take away, confiscate

## Footnote

They will take away your rights."
"# Translate:

праздничный

## Footnote

Комната выглядела праздничной и яркой.","festive, holiday

## Footnote

The room looked festive and bright."
"# Translate:

уста

## Footnote

Её уста прошептали тайное обещание.","lips, mouth

## Footnote

Her lips whispered a secret promise."
"# Translate:

переехать

## Footnote

Мы переедем в следующем месяце.","move, relocate

## Footnote

We will move next month."
"# Translate:

квалификация

## Footnote

У него высокая квалификация.","qualification, credentials

## Footnote

He has a high qualification."
"# Translate:

незначительный

## Footnote

Изменение было незначительным.","insignificant, minor

## Footnote

The change was insignificant."
"# Translate:

сыр

## Footnote

Я ем сыр с хлебом.","cheese, curd

## Footnote

I eat cheese with bread."
"# Translate:

незаконный

## Footnote

Продажа наркотиков незаконна.","illegal, unlawful

## Footnote

Selling drugs is illegal."
"# Translate:

ха

## Footnote

""Ха, я знал, что ты придешь!""","ha, haha

## Footnote

""Ha, I knew you'd come!"""
"# Translate:

снежный

## Footnote

Снежный день был тихим.","snowy, snow

## Footnote

The snowy day was quiet."
"# Translate:

президентский

## Footnote

Он объявил о своей президентской кампании сегодня.","presidential, president's

## Footnote

He announced his presidential campaign today."
"# Translate:

скучно

## Footnote

Мне здесь скучно.","boring, dull

## Footnote

It is so boring here."
"# Translate:

исключительный

## Footnote

У неё исключительный талант в живописи.","exceptional, exclusive

## Footnote

She has exceptional talent in painting."
"# Translate:

обман

## Footnote

Обман разрушил их доверие.","deception, fraud

## Footnote

Deception destroyed their trust."
"# Translate:

зрелище

## Footnote

Бой был страшным зрелищем.","spectacle, show

## Footnote

The fight was a terrible spectacle."
"# Translate:

национальность

## Footnote

Её национальность - русская.","nationality, ethnicity

## Footnote

Her nationality is Russian."
"# Translate:

купец

## Footnote

Купец продал хлеб.","merchant, trader

## Footnote

The merchant sold bread."
"# Translate:

провод

## Footnote

Провод слишком длинный.","wire, cable

## Footnote

The wire is too long."
"# Translate:

гриб

## Footnote

Я нашел гриб в лесу.","mushroom, fungus

## Footnote

I found a mushroom in the forest."
"# Translate:

фрукт

## Footnote

Я люблю есть свежие фрукты каждый день.","fruit, produce

## Footnote

I love eating fresh fruit daily."
"# Translate:

ненужный

## Footnote

Эта встреча абсолютно ненужная.","unnecessary, unneeded

## Footnote

This meeting is completely unnecessary."
"# Translate:

глянуть

## Footnote

Глянь сюда!","look, glance

## Footnote

Look here!"
"# Translate:

немалый

## Footnote

Она внесла немалый вклад.","significant, considerable

## Footnote

She made a significant contribution."
"# Translate:

баня

## Footnote

Мы отдыхали в местной бане.","bathhouse, sauna

## Footnote

We relaxed at the local bathhouse."
"# Translate:

открыто

## Footnote

Он открыто выразил свои мнения.","openly, open

## Footnote

He openly expressed his opinions."
"# Translate:

миновать

## Footnote

Опасность скоро минует.","to pass, to bypass

## Footnote

The danger will pass soon."
"# Translate:

передовой

## Footnote

Это передовой метод.","advanced, cutting-edge

## Footnote

This is an advanced method."
"# Translate:

дарить

## Footnote

Я люблю дарить подарки.","to give, to present

## Footnote

I love to give gifts."
"# Translate:

потрясать

## Footnote

Его слова потрясают нас.","shake, amaze

## Footnote

His words shake us."
"# Translate:

тупой

## Footnote

Нож слишком тупой, чтобы резать.","dull, blunt

## Footnote

The knife is too dull to cut."
"# Translate:

плоский

## Footnote

Стол совсем плоский.","flat, plane

## Footnote

The table is flat."
"# Translate:

церемония

## Footnote

Церемония свадьбы была красивой.","ceremony, ritual

## Footnote

The wedding ceremony was beautiful."
"# Translate:

ступенька

## Footnote

Осторожно, ступенька!","step, rung

## Footnote

Watch your step!"
"# Translate:

переносить

## Footnote

Мы переносим встречу.","to transfer, to postpone

## Footnote

We postpone the meeting."
"# Translate:

большевик

## Footnote

Большевик взял власть.","Bolshevik, Communist

## Footnote

The Bolshevik took power."
"# Translate:

возбуждение

## Footnote

Его возбуждение росло.","excitation, arousal

## Footnote

His arousal grew."
"# Translate:

живопись

## Footnote

Я люблю живопись.","painting, fine art

## Footnote

I love painting."
"# Translate:

советник

## Footnote

Он мой советник.","advisor, counselor

## Footnote

He is my advisor."
"# Translate:

оригинал

## Footnote

Я нашел оригинал картины.","original, original copy

## Footnote

I found the original painting."
"# Translate:

предстоящий

## Footnote

Предстоящий бой будет трудным.","upcoming, forthcoming

## Footnote

The upcoming fight will be hard."
"# Translate:

соперник

## Footnote

Он победил своего соперника.","rival, competitor

## Footnote

He defeated his rival."
"# Translate:

поручить

## Footnote

Я поручу тебе это задание.","entrust, assign

## Footnote

I will entrust you with this task."
"# Translate:

балл

## Footnote

Он получил высокий балл.","point, score

## Footnote

He got a high score."
"# Translate:

бокал

## Footnote

Он поднял бокал с вином.","goblet, wine glass

## Footnote

He raised the goblet of wine."
"# Translate:

юбка

## Footnote

Она купила новую красную юбку.","skirt, kilt

## Footnote

She bought a new red skirt."
"# Translate:

экспорт

## Footnote

Экспорт нефти растёт.","export, exports

## Footnote

Oil export is growing."
"# Translate:

драться

## Footnote

Мальчики дрались во дворе.","to fight, to scuffle

## Footnote

The boys fought in the yard."
