Question,Answer
"# Translate:

to overcome

## Footnote

I can overcome fear.","одолевать

## Footnote

Я могу одолевать страх."
"# Translate:

unperturbed

## Footnote

He is unperturbed.","невозмутимый

## Footnote

Он невозмутим."
"# Translate:

cataclysm

## Footnote

The cataclysm destroyed the city.","катаклизм

## Footnote

Катаклизм уничтожил город."
"# Translate:

talk into

## Footnote

She talked him into going.","уговорить

## Footnote

Она уговорила его пойти."
"# Translate:

non-living

## Footnote

A stone is a non-living thing.","неживой

## Footnote

Камень — неживая вещь."
"# Translate:

with concentration

## Footnote

She worked with concentration.","сосредоточенно

## Footnote

Она работала сосредоточенно."
"# Translate:

to take care

## Footnote

Please take care.","беречь себя

## Footnote

Береги себя."
"# Translate:

to smirk

## Footnote

He began to smirk.","ухмыляться

## Footnote

Он начал ухмыляться."
"# Translate:

barricade

## Footnote

They built a barricade.","баррикада

## Footnote

Они построили баррикаду."
"# Translate:

retell

## Footnote

She likes to retell the story.","пересказывать

## Footnote

Она любит пересказывать историю."
"# Translate:

rot

## Footnote

The apples will rot.","гнить

## Footnote

Яблоки будут гнить."
"# Translate:

neurosis

## Footnote

She has a neurosis.","невроз

## Footnote

У неё невроз."
"# Translate:

diagonal

## Footnote

I see a diagonal.","диагональ

## Footnote

Я вижу диагональ."
"# Translate:

Kirovsky

## Footnote

I live on Kirovsky street.","кировский

## Footnote

Я живу на Кировской улице."
"# Translate:

six hundred

## Footnote

I have six hundred books.","шестьсот

## Footnote

У меня шестьсот книг."
"# Translate:

ballad

## Footnote

She sings a ballad.","баллада

## Footnote

Она поёт балладу."
"# Translate:

steering

## Footnote

The steering is new.","рулевое управление

## Footnote

Рулевое управление новое."
"# Translate:

armored train

## Footnote

The armored train is coming.","бронепоезд

## Footnote

Бронепоезд идёт."
"# Translate:

reconcile

## Footnote

They want to reconcile.","примириться

## Footnote

Они хотят примириться."
"# Translate:

masturbation

## Footnote

Masturbation is normal.","мастурбация

## Footnote

Мастурбация нормальна."
"# Translate:

privatize

## Footnote

They want to privatize the company.","приватизировать

## Footnote

Они хотят приватизировать компанию."
"# Translate:

membership

## Footnote

His membership ended.","членство

## Footnote

Его членство закончилось."
"# Translate:

wildly

## Footnote

She danced wildly.","бешено

## Footnote

Она бешено танцевала."
"# Translate:

stallion

## Footnote

The stallion ran in the field.","жеребец

## Footnote

Жеребец бежал по полю."
"# Translate:

blackness

## Footnote

I saw only blackness.","чернота

## Footnote

Я видел только черноту."
"# Translate:

amiss

## Footnote

Something is amiss here.","неладный

## Footnote

Здесь что-то неладное."
"# Translate:

dizziness

## Footnote

She had dizziness.","головокружение

## Footnote

У неё было головокружение."
"# Translate:

snowflake

## Footnote

A snowflake fell on her nose.","снежинка

## Footnote

Снежинка упала ей на нос."
"# Translate:

buttstock

## Footnote

He held the buttstock.","приклад

## Footnote

Он держал приклад."
"# Translate:

comfortably

## Footnote

She slept comfortably.","комфортно

## Footnote

Она спала комфортно."
"# Translate:

portable

## Footnote

This computer is portable.","портативный

## Footnote

Этот компьютер портативный."
"# Translate:

trillion

## Footnote

He has a trillion dollars.","триллион

## Footnote

У него триллион долларов."
"# Translate:

epigraph

## Footnote

The book has an epigraph.","эпиграф

## Footnote

В книге есть эпиграф."
"# Translate:

abundantly

## Footnote

Flowers grew abundantly.","обильно

## Footnote

Цветы обильно росли."
"# Translate:

cottage cheese

## Footnote

I love cottage cheese.","творог

## Footnote

Я люблю творог."
"# Translate:

stylistic

## Footnote

This is a stylistic choice.","стилистический

## Footnote

Это стилистический выбор."
"# Translate:

cut down

## Footnote

They cut down the tree.","вырубить

## Footnote

Они вырубили дерево."
"# Translate:

tin

## Footnote

Tin is strong.","жесть

## Footnote

Жесть прочная."
"# Translate:

sour cream

## Footnote

I added sour cream to the soup.","сметана

## Footnote

Я добавил сметану в суп."
"# Translate:

palms

## Footnote

She pressed her palms together.","ладонь

## Footnote

Она сжала свои ладони."
