Question,Answer
"# Translate:

cut, sever

## Footnote

He cut the rope with scissors.","перерезать

## Footnote

Он перерезал канат ножницами."
"# Translate:

penitence

## Footnote

His penitence was sincere.","покаяние

## Footnote

Его раскаяние было искренним."
"# Translate:

afloat

## Footnote

The boat is afloat.","на плаву; плавающий

## Footnote

Лодка на плаву."
"# Translate:

obsessed

## Footnote

She is obsessed with music.","одержимый (чем-либо)

## Footnote

Она одержима музыкой."
"# Translate:

POW (prisoner of war)

## Footnote

He became a POW.","военнопленный

## Footnote

Он стал военнопленным."
"# Translate:

latter

## Footnote

Of the two, the latter is better.","последний из двух; второй из двух

## Footnote

Из этих двух лучше второй."
"# Translate:

misguided

## Footnote

His plan was misguided.","ошибочный; неверно направленный

## Footnote

Его план был ошибочным."
"# Translate:

to stretch, to tighten

## Footnote

I am stretching the cloth.","натягивать

## Footnote

Я натягиваю ткань."
"# Translate:

reckless

## Footnote

He made a reckless choice.","безрассудный

## Footnote

Он сделал безрассудный выбор."
"# Translate:

relief, terrain

## Footnote

The terrain is uneven.","рельеф

## Footnote

Рельеф неровный."
"# Translate:

unreliable

## Footnote

This car is unreliable.","ненадёжный

## Footnote

Эта машина ненадёжна."
"# Translate:

to refrain

## Footnote

Please refrain from talking.","воздерживаться (от чего-либо)

## Footnote

Пожалуйста, воздержитесь от разговоров."
"# Translate:

apprentice

## Footnote

The apprentice works here.","подмастерье; ученик ремесленника

## Footnote

Подмастерье работает здесь."
"# Translate:

monstrous (very ugly or frightening)

## Footnote

The monstrous animal scared the children.","чудовищный (очень уродливый или пугающий)

## Footnote

Чудовищное животное напугало детей."
"# Translate:

stiff (of muscles or back)

## Footnote

His back felt stiff after the trip.","скованный (о мышцах или спине)

## Footnote

После поездки у него затекла спина."
"# Translate:

kind of

## Footnote

It's kind of interesting.","вроде

## Footnote

Это вроде интересно."
"# Translate:

aptitude

## Footnote

She has an aptitude for music.","способность; склонность

## Footnote

У неё есть способности к музыке."
"# Translate:

alien, stranger

## Footnote

He felt like an alien among them.","чужак

## Footnote

Он чувствовал себя чужаком среди них."
"# Translate:

apparition

## Footnote

An apparition stood at the window.","привидение

## Footnote

У окна стояло привидение."
"# Translate:

scrap metal

## Footnote

They sold the scrap metal.","металлолом

## Footnote

Они продали металлолом."
"# Translate:

to fathom

## Footnote

The answer is hard to fathom.","понять; постичь

## Footnote

Ответ трудно понять."
"# Translate:

berth (sleeping place on a boat or train)

## Footnote

There are four berths on the boat.","спальное место (на судне или в поезде)

## Footnote

На лодке есть четыре спальных места."
"# Translate:

flatten

## Footnote

Flatten the paper with your hand.","разгладить; сделать плоским

## Footnote

Разгладь бумагу рукой."
"# Translate:

to pull up (clothing)

## Footnote

She pulled up her sleeve.","подтянуть вверх (одежду)

## Footnote

Она подтянула рукав."
"# Translate:

to clamber

## Footnote

He clambered over the fence.","карабкаться (с трудом)

## Footnote

Он с трудом перелез через забор."
"# Translate:

adventurous

## Footnote

This boy is adventurous.","любящий приключения

## Footnote

Этот мальчик любит приключения."
"# Translate:

to brush off (dismiss)

## Footnote

She brushed off my warning.","отмахнуться от

## Footnote

Она отмахнулась от моего предупреждения."
"# Translate:

anguish

## Footnote

She cried in anguish.","душевная боль; страдание

## Footnote

Она плакала от душевной боли."
"# Translate:

renewal

## Footnote

The renewal took one week.","продление; возобновление

## Footnote

Продление заняло одну неделю."
"# Translate:

outbreak

## Footnote

The disease outbreak began today.","вспышка (болезни)

## Footnote

Сегодня началась вспышка болезни."
"# Translate:

emergency, urgent

## Footnote

This is an emergency call.","экстренный

## Footnote

Это экстренный вызов."
"# Translate:

to impede

## Footnote

Heavy rain impeded the work.","затруднять

## Footnote

Сильный дождь затруднил работу."
"# Translate:

sterile

## Footnote

The room is sterile.","стерильный

## Footnote

Помещение стерильно."
"# Translate:

retrieval

## Footnote

The retrieval of the file took minutes.","извлечение

## Footnote

Извлечение файла заняло несколько минут."
"# Translate:

receipt

## Footnote

Keep your receipt.","квитанция

## Footnote

Храните квитанцию."
"# Translate:

disciplinary

## Footnote

The school took disciplinary action.","дисциплинарный

## Footnote

Школа приняла дисциплинарные меры."
"# Translate:

filament

## Footnote

The filament in the bulb broke.","нить накаливания

## Footnote

Нить накаливания в лампочке оборвалась."
"# Translate:

heartless

## Footnote

The heartless man left.","бессердечный

## Footnote

Бессердечный мужчина ушёл."
"# Translate:

political analyst

## Footnote

The political analyst wrote a report.","политический аналитик

## Footnote

Политический аналитик написал доклад."
"# Translate:

havoc

## Footnote

The storm caused havoc.","разрушение; хаос

## Footnote

Шторм причинил большие разрушения."
"# Translate:

swallow

## Footnote

The swallow flies.","ласточка

## Footnote

Ласточка летит."
"# Translate:

fairness

## Footnote

Fairness matters to everyone.","справедливость

## Footnote

Справедливость важна для всех."
"# Translate:

banish

## Footnote

The king banished him from the city.","изгнать

## Footnote

Король изгнал его из города."
"# Translate:

register

## Footnote

Use a formal register.","регистр

## Footnote

Используйте официальный регистр."
"# Translate:

livelihood

## Footnote

A job is her livelihood.","средства к существованию

## Footnote

Её работа — источник средств к существованию."
"# Translate:

dramatist

## Footnote

The dramatist wrote a play.","драматург

## Footnote

Драматург написал пьесу."
"# Translate:

to prosper

## Footnote

She wants to prosper.","процветать

## Footnote

Она хочет процветать."
"# Translate:

corpus

## Footnote

The corpus has many texts.","корпус текстов; собрание текстов

## Footnote

В корпусе много текстов."
"# Translate:

succession

## Footnote

A succession of events occurred that day.","череда

## Footnote

В тот день произошла череда событий."
"# Translate:

deficiency

## Footnote

The plant has a water deficiency.","нехватка; дефицит

## Footnote

Растению не хватает воды."
"# Translate:

to close a circuit

## Footnote

Close the circuit.","замкнуть электрическую цепь

## Footnote

Замкните цепь."
"# Translate:

to inundate

## Footnote

The river inundated the town.","затопить

## Footnote

Река затопила город."
"# Translate:

hamper

## Footnote

Rain can hamper our work.","затруднять; мешать

## Footnote

Дождь может помешать нашей работе."
"# Translate:

lead (noun: dog leash)

## Footnote

The dog is on a lead.","поводок

## Footnote

Собака на поводке."
"# Translate:

glute (usually plural: glutes)

## Footnote

She worked on her glutes at the gym.","ягодичная мышца; ягодичные мышцы

## Footnote

Она тренировала ягодичные мышцы в спортзале."
"# Translate:

intimacy

## Footnote

Intimacy takes time.","близость; интимность

## Footnote

Близость требует времени."
"# Translate:

shun

## Footnote

The group shunned him.","избегать; сторониться

## Footnote

Группа стала его сторониться."
"# Translate:

persecute

## Footnote

They persecuted him for his faith.","преследовать

## Footnote

Они преследовали его за веру."
"# Translate:

to water, to give a drink

## Footnote

I need to water the horses.","напоить

## Footnote

Мне нужно напоить лошадей."
"# Translate:

supply, provide

## Footnote

We must supply the army with water.","снабжать

## Footnote

Мы должны снабжать армию водой."
"# Translate:

underground, clandestine

## Footnote

This is an underground organization.","подпольный

## Footnote

Это подпольная организация."
"# Translate:

predicament

## Footnote

He is in a predicament.","затруднительное положение

## Footnote

Он оказался в затруднительном положении."
"# Translate:

astounding

## Footnote

The news was astounding.","поразительный; изумительный

## Footnote

Эта новость была поразительной."
"# Translate:

computer science

## Footnote

She studies computer science.","информатика

## Footnote

Она изучает информатику."
"# Translate:

protector

## Footnote

The protector saved the child.","защитник

## Footnote

Защитник спас ребёнка."
"# Translate:

sermonizer

## Footnote

The sermonizer spoke at the meeting.","проповедник

## Footnote

Проповедник выступил на собрании."
"# Translate:

duchy

## Footnote

The duchy was small.","герцогство

## Footnote

Герцогство было маленьким."
"# Translate:

ploy

## Footnote

It was a ploy to get the answer.","уловка

## Footnote

Это была уловка, чтобы получить ответ."
"# Translate:

snag

## Footnote

We hit a snag.","неожиданная проблема; заминка

## Footnote

Мы столкнулись с неожиданной проблемой."
"# Translate:

club (weapon)

## Footnote

He carried a heavy club.","дубинка

## Footnote

Он нёс тяжёлую дубинку."
"# Translate:

finishing, trim

## Footnote

The table's trim is good.","отделка

## Footnote

Отделка стола хорошая."
"# Translate:

oatmeal

## Footnote

I eat oatmeal for breakfast.","овсянка; овсяная каша

## Footnote

На завтрак я ем овсянку."
"# Translate:

unjust

## Footnote

The rule was unjust.","несправедливый

## Footnote

Это правило было несправедливым."
"# Translate:

streamlet, trickle

## Footnote

A trickle of water ran from the roof.","ручей, ручеёк (streamlet); струйка (trickle)

## Footnote

Струйка воды бежала с крыши."
"# Translate:

to glide

## Footnote

The boat glided on the water.","плавно скользить

## Footnote

Лодка плавно скользила по воде."
"# Translate:

to realize too late

## Footnote

He realized it too late.","спохватиться слишком поздно

## Footnote

Он спохватился слишком поздно."
"# Translate:

scenic

## Footnote

This road is scenic.","живописный

## Footnote

Эта дорога живописная."
"# Translate:

range (maximum distance)

## Footnote

The shot has a long range.","дальность (полёта или стрельбы)

## Footnote

У выстрела большая дальность."
"# Translate:

agree upon

## Footnote

Let's agree upon the price.","оговорить

## Footnote

Давайте оговорим цену."
"# Translate:

fantasize

## Footnote

I fantasize about a new home.","фантазировать; мечтать

## Footnote

Я мечтаю о новом доме."
"# Translate:

manifest (shipping list)

## Footnote

The ship's manifest lists every box.","грузовой манифест

## Footnote

В грузовом манифесте перечислены все ящики."
"# Translate:

eyesight

## Footnote

My eyesight is poor.","зрение

## Footnote

У меня плохое зрение."
"# Translate:

to repel (an attack)

## Footnote

They repelled the attack.","отразить (атаку)

## Footnote

Они отразили атаку."
"# Translate:

appalling

## Footnote

The news was appalling.","ужасающий; возмутительный

## Footnote

Эта новость была ужасной."
"# Translate:

goodwill

## Footnote

The gift showed goodwill.","добрая воля; доброжелательность

## Footnote

Подарок был жестом доброй воли."
"# Translate:

endorsement

## Footnote

The plan received her endorsement.","одобрение; публичная поддержка

## Footnote

План получил её одобрение."
"# Translate:

to batter

## Footnote

They battered the man.","избивать

## Footnote

Они избивали мужчину."
"# Translate:

gracious (of God; showing mercy)

## Footnote

God is gracious.","милостивый (о Боге)

## Footnote

Бог милостив."
"# Translate:

to be in the offing

## Footnote

A meeting is in the offing.","намечаться (о событии)

## Footnote

Намечается встреча."
"# Translate:

to sizzle

## Footnote

The meat sizzled.","шкворчать

## Footnote

Мясо шкворчало."
"# Translate:

to suggest (imply)

## Footnote

Her smile suggested that she agreed.","указывать на (косвенно)

## Footnote

Её улыбка говорила о том, что она согласна."
"# Translate:

convalescence

## Footnote

Her convalescence took a month.","выздоровление после болезни

## Footnote

Её выздоровление заняло месяц."
"# Translate:

sacrament

## Footnote

Marriage is a sacrament.","таинство

## Footnote

Брак — это таинство."
"# Translate:

juvenile (noun: young person)

## Footnote

The juvenile went home.","несовершеннолетний

## Footnote

Несовершеннолетний пошёл домой."
"# Translate:

tote

## Footnote

She put her book in her tote.","большая сумка; сумка-тоут

## Footnote

Она положила книгу в свою большую сумку."
"# Translate:

plight

## Footnote

We saw their plight.","тяжёлое положение; бедственное положение

## Footnote

Мы увидели, в каком тяжёлом положении они оказались."
"# Translate:

job placement

## Footnote

Job placement took a week.","трудоустройство

## Footnote

Трудоустройство заняло неделю."
"# Translate:

to scoot

## Footnote

Scoot over, please.","быстро передвигаться; подвинуться (разг.)

## Footnote

Подвиньтесь, пожалуйста."
"# Translate:

communicative (of a person)

## Footnote

She is communicative with her friends.","общительный

## Footnote

Она общительна со своими друзьями."
"# Translate:

unlawfully

## Footnote

He unlawfully entered the home.","незаконно

## Footnote

Он незаконно вошёл в дом."
"# Translate:

handyman

## Footnote

The handyman fixed the door.","мастер на все руки; мастер по ремонту

## Footnote

Мастер на все руки починил дверь."
"# Translate:

protrusion

## Footnote

There is a protrusion on the wall.","выступ

## Footnote

На стене есть выступ."
"# Translate:

training

## Footnote

This is a training camp.","тренировочный

## Footnote

Это тренировочный лагерь."
"# Translate:

bonfire

## Footnote

We sat near the bonfire.","костёр (большой костёр на открытом воздухе)

## Footnote

Мы сидели у костра."
"# Translate:

rundown

## Footnote

I need a rundown of the plan.","краткий обзор; сводка

## Footnote

Мне нужен краткий обзор плана."
"# Translate:

cider

## Footnote

We drank cider after dinner.","сидр; яблочный напиток

## Footnote

После ужина мы пили яблочный сидр."
"# Translate:

instructive

## Footnote

The movie was instructive.","поучительный

## Footnote

Фильм был поучительным."
"# Translate:

gas cylinder

## Footnote

The gas cylinder is empty.","баллон

## Footnote

Баллон пустой."
"# Translate:

tarp

## Footnote

We covered the car with a tarp.","брезент; тент

## Footnote

Мы накрыли машину брезентом."
"# Translate:

pretentious

## Footnote

The speech sounds pretentious.","претенциозный; напыщенный

## Footnote

Речь звучит напыщенно."
"# Translate:

insolently

## Footnote

He answered insolently.","нагло

## Footnote

Он ответил нагло."
"# Translate:

cocoon

## Footnote

The cocoon hung from the tree.","кокон

## Footnote

Кокон висел на дереве."
