Question,Answer
"# Translate:

suspect

## Footnote

I suspect he is hiding something.","подозревать

## Footnote

Я подозреваю, что он скрывает что-то."
"# Translate:

obligation

## Footnote

I have an obligation to help.","обязательство

## Footnote

У меня есть обязательство помогать."
"# Translate:

mountainous

## Footnote

The country is mountainous.","горный

## Footnote

Страна горная."
"# Translate:

protocol

## Footnote

Follow the protocol strictly.","протокол

## Footnote

Строго следуйте протоколу."
"# Translate:

recommendation

## Footnote

He followed the doctor's recommendation.","рекомендация

## Footnote

Он следовал рекомендации врача."
"# Translate:

medicine

## Footnote

Take your medicine.","лекарство

## Footnote

Примите лекарство."
"# Translate:

maximum

## Footnote

We need maximum efficiency.","максимальный

## Footnote

Нам нужна максимальная эффективность."
"# Translate:

announcement

## Footnote

I read the announcement.","объявление

## Footnote

Я прочитал объявление."
"# Translate:

minimal

## Footnote

The result was minimal.","минимальный

## Footnote

Результат был минимальным."
"# Translate:

lonely

## Footnote

She felt lonely without him.","одинокий

## Footnote

Она чувствовала себя одинокой без него."
"# Translate:

descend

## Footnote

He descended from the mountain.","спуститься

## Footnote

Он спустился с горы."
"# Translate:

remark

## Footnote

The remark was important.","замечание

## Footnote

Замечание было важным."
"# Translate:

career

## Footnote

She has a good career.","карьера

## Footnote

У неё хорошая карьера."
"# Translate:

to rest

## Footnote

I want to rest.","отдыхать

## Footnote

Я хочу отдыхать."
"# Translate:

statement

## Footnote

I know his statement.","высказывание

## Footnote

Я знаю его высказывание."
"# Translate:

ball

## Footnote

The ball is on the table.","шар

## Footnote

Шар на столе."
"# Translate:

to remember

## Footnote

I remember his name.","помнить

## Footnote

Я помню его имя."
"# Translate:

politician

## Footnote

The politician spoke.","политик

## Footnote

Политик говорил."
"# Translate:

undoubtedly

## Footnote

She is undoubtedly a good candidate.","несомненно

## Footnote

Она несомненно хороший кандидат."
"# Translate:

album

## Footnote

I bought her favorite album.","альбом

## Footnote

Я купил её любимый альбом."
"# Translate:

railway station

## Footnote

The railway station is near.","вокзал

## Footnote

Вокзал рядом."
"# Translate:

note

## Footnote

She found a note under the door.","записка

## Footnote

Она нашла записку под дверью."
"# Translate:

break

## Footnote

I will break the glass.","разбить

## Footnote

Я разобью стекло."
"# Translate:

justice

## Footnote

Justice will win.","справедливость

## Footnote

Справедливость победит."
"# Translate:

shortly

## Footnote

He will come shortly.","скоро

## Footnote

Он скоро придёт."
"# Translate:

suffering

## Footnote

His suffering was great.","страдание

## Footnote

Его страдание было большим."
"# Translate:

country house

## Footnote

We have a country house.","дача

## Footnote

У нас есть дача."
"# Translate:

warranty

## Footnote

The product has a warranty.","гарантия

## Footnote

У продукта есть гарантия."
"# Translate:

contradiction

## Footnote

This is a contradiction.","противоречие

## Footnote

Это противоречие."
"# Translate:

nervous

## Footnote

She felt nervous before the interview.","нервный

## Footnote

Она чувствовала себя нервной перед интервью."
"# Translate:

not at all

## Footnote

He was not at all surprised.","отнюдь

## Footnote

Он отнюдь не удивился."
"# Translate:

grave

## Footnote

I see the grave.","могила

## Footnote

Я вижу могилу."
"# Translate:

modest

## Footnote

She wore a modest dress.","скромный

## Footnote

Она носила скромное платье."
"# Translate:

spot

## Footnote

I see a spot.","пятно

## Footnote

Я вижу пятно."
"# Translate:

noticeable

## Footnote

The change was noticeable.","заметный

## Footnote

Изменение было заметным."
"# Translate:

soil

## Footnote

Plants grow well in this soil.","почва

## Footnote

Растения хорошо растут на этой почве."
"# Translate:

bullet

## Footnote

The bullet hit the wall.","пуля

## Footnote

Пуля попала в стену."
"# Translate:

cargo

## Footnote

I see the ship's cargo.","груз

## Footnote

Я вижу груз корабля."
"# Translate:

communist

## Footnote

He is a communist.","коммунист

## Footnote

Он коммунист."
"# Translate:

twelve

## Footnote

I have twelve things.","двенадцать

## Footnote

У меня двенадцать вещей."
"# Translate:

imagination

## Footnote

He has a good imagination.","воображение

## Footnote

У него хорошее воображение."
"# Translate:

coarse

## Footnote

The fabric felt coarse.","грубый

## Footnote

Ткань была грубой."
"# Translate:

aha

## Footnote

Aha, I know!","ага

## Footnote

Ага, я знаю!"
"# Translate:

Germanic

## Footnote

English is a Germanic language.","германский

## Footnote

Английский — германский язык."
"# Translate:

visit

## Footnote

I will visit him tomorrow.","посетить

## Footnote

Я посещу его завтра."
"# Translate:

diverse

## Footnote

Our team is diverse.","разнообразный

## Footnote

Наша команда разнообразная."
"# Translate:

to step back

## Footnote

He stepped back from the door.","отойти

## Footnote

Он отошёл от двери."
"# Translate:

divide

## Footnote

We divide the bread.","делить

## Footnote

Мы делим хлеб."
"# Translate:

global

## Footnote

This is a global problem.","глобальный

## Footnote

Это глобальная проблема."
"# Translate:

cafe

## Footnote

The cafe is here.","кафе

## Footnote

Кафе здесь."
"# Translate:

faculty

## Footnote

She studies at the law faculty.","факультет

## Footnote

Она учится на юридическом факультете."
"# Translate:

bush

## Footnote

The bird is in the bush.","куст

## Footnote

Птица в кусте."
"# Translate:

poem

## Footnote

She wrote a beautiful poem.","стихотворение

## Footnote

Она написала красивое стихотворение."
"# Translate:

methodology

## Footnote

We discussed the methodology today.","методика

## Footnote

Мы обсуждали методику сегодня."
"# Translate:

guess

## Footnote

Can you guess?","догадаться

## Footnote

Ты можешь догадаться?"
"# Translate:

battle

## Footnote

The battle ended.","битва

## Footnote

Битва закончилась."
"# Translate:

to be interested in

## Footnote

She is interested in art.","интересоваться

## Footnote

Она интересуется искусством."
"# Translate:

surround

## Footnote

Trees surround the house.","окружать

## Footnote

Деревья окружают дом."
"# Translate:

advise

## Footnote

I advise you to wait.","советовать

## Footnote

Я советую вам ждать."
"# Translate:

reconnaissance

## Footnote

He is on reconnaissance.","разведка

## Footnote

Он в разведке."
"# Translate:

calm down

## Footnote

Please, calm down and listen.","успокоиться

## Footnote

Пожалуйста, успокойтесь и слушайте."
"# Translate:

potential

## Footnote

She has great potential.","потенциал

## Footnote

У неё большой потенциал."
