Question,Answer
"# Translate:

польский

## Footnote

Это польский фильм?","Polish

## Footnote

Is this a Polish film?"
"# Translate:

конкурент

## Footnote

Это наш конкурент.","competitor, rival

## Footnote

That's our competitor."
"# Translate:

существенно

## Footnote

Это существенно.","significantly, substantially

## Footnote

That's significant."
"# Translate:

маска

## Footnote

Надень маску.","mask

## Footnote

Put a mask on."
"# Translate:

жалоба

## Footnote

Куда жалобу писать?","complaint

## Footnote

Where do I file a complaint?"
"# Translate:

потребление

## Footnote

Потребление выросло.","consumption

## Footnote

Consumption is up."
"# Translate:

опираться

## Footnote

Не опирайся на дверь.","to lean on, to rely on

## Footnote

Don't lean on the door."
"# Translate:

подпись

## Footnote

Нужна твоя подпись.","signature

## Footnote

I need your signature."
"# Translate:

прозрачный

## Footnote

Вода прозрачная.","transparent, clear

## Footnote

The water's clear."
"# Translate:

авиация

## Footnote

Он в авиации.","aviation

## Footnote

He's in aviation."
"# Translate:

корова

## Footnote

Смотри, корова!","cow

## Footnote

Look, a cow!"
"# Translate:

завести

## Footnote

Заведи машину.","to start, to get

## Footnote

Start the car."
"# Translate:

применяться

## Footnote

Это ещё применяется?","to be used, to be applied

## Footnote

Is that still used?"
"# Translate:

ложиться

## Footnote

Я ложусь спать.","to lie down, to go to bed

## Footnote

I'm going to bed."
"# Translate:

настаивать

## Footnote

Я настаиваю.","to insist

## Footnote

I insist."
"# Translate:

изучить

## Footnote

Изучи это.","to study, to examine

## Footnote

Study this."
"# Translate:

напиток

## Footnote

Какой напиток?","drink

## Footnote

What drink do you want?"
"# Translate:

избрать

## Footnote

Его избрали.","to elect

## Footnote

He got elected."
"# Translate:

освобождение

## Footnote

До освобождения ещё год.","release, liberation

## Footnote

A year until release."
"# Translate:

двойной

## Footnote

Мне двойной.","double

## Footnote

I'll take a double."
"# Translate:

письменный

## Footnote

Нужен письменный ответ.","written

## Footnote

I need it in writing."
"# Translate:

приготовить

## Footnote

Я приготовлю ужин.","to cook, to prepare

## Footnote

I'll cook dinner."
"# Translate:

сойти

## Footnote

Сойди на следующей.","to get off, to come off

## Footnote

Get off at the next one."
"# Translate:

инвестиционный

## Footnote

Инвестиционный фонд?","investment (adj.)

## Footnote

An investment fund?"
"# Translate:

граф

## Footnote

Он граф.","count

## Footnote

He's a count."
"# Translate:

зачастую

## Footnote

Зачастую так и бывает.","often, frequently

## Footnote

That's often how it goes."
"# Translate:

густой

## Footnote

Лес густой.","thick, dense

## Footnote

The forest is dense."
"# Translate:

потребоваться

## Footnote

Потребуется время.","to be needed, to be required

## Footnote

It'll take time."
"# Translate:

римский

## Footnote

Римские цифры.","Roman

## Footnote

Roman numerals."
"# Translate:

сложить

## Footnote

Сложи это.","to fold, to put together

## Footnote

Fold this."
"# Translate:

студия

## Footnote

Он работает в студии.","studio

## Footnote

He works in a studio."
"# Translate:

приход

## Footnote

Жду твоего прихода.","arrival

## Footnote

I'm waiting for you to get here."
"# Translate:

кремль

## Footnote

Идём в Кремль?","Kremlin

## Footnote

Shall we go to the Kremlin?"
"# Translate:

авторитет

## Footnote

У него авторитет.","authority

## Footnote

He's got authority."
"# Translate:

отражение

## Footnote

Смотри, отражение.","reflection

## Footnote

Look, the reflection."
"# Translate:

накануне

## Footnote

Накануне праздника.","the day before, on the eve

## Footnote

The day before the holiday."
"# Translate:

мотор

## Footnote

Мотор не заводится.","engine, motor

## Footnote

The engine won't start."
"# Translate:

измерение

## Footnote

Проверь измерение.","measurement

## Footnote

Check the measurement."
"# Translate:

небесный

## Footnote

Небесный цвет.","heavenly, sky-blue

## Footnote

Sky blue."
"# Translate:

подлинный

## Footnote

Это подлинное?","genuine, authentic

## Footnote

Is this genuine?"
"# Translate:

заметно

## Footnote

Это заметно.","noticeably

## Footnote

You can tell."
"# Translate:

отдельно

## Footnote

Это отдельно.","separately

## Footnote

That's separate."
"# Translate:

исполнить

## Footnote

Исполни обещание.","to fulfill, to perform

## Footnote

Keep your promise."
"# Translate:

восстановить

## Footnote

Восстанови файл.","to restore, to recover

## Footnote

Restore the file."
"# Translate:

предварительный

## Footnote

Это предварительный план.","preliminary

## Footnote

That's a preliminary plan."
"# Translate:

искренне

## Footnote

Я искренне рад.","sincerely, genuinely

## Footnote

I'm genuinely glad."
"# Translate:

заботиться

## Footnote

Заботься о себе.","to take care of

## Footnote

Take care of yourself."
"# Translate:

избавиться

## Footnote

Надо избавиться от этого.","to get rid of

## Footnote

We need to get rid of this."
"# Translate:

скрыть

## Footnote

Скрой это.","to hide, to conceal

## Footnote

Hide that."
"# Translate:

экологический

## Footnote

Это экологический проект.","environmental, ecological

## Footnote

It's an environmental project."
"# Translate:

молиться

## Footnote

Она молится.","to pray

## Footnote

She's praying."
"# Translate:

повесть

## Footnote

Читал его повесть?","novella, tale

## Footnote

Have you read his novella?"
"# Translate:

вождь

## Footnote

Кто у них вождь?","chief, leader

## Footnote

Who's their chief?"
"# Translate:

компонент

## Footnote

Не хватает компонента.","component

## Footnote

A component is missing."
"# Translate:

нарушить

## Footnote

Ты нарушил правило.","to break, to violate

## Footnote

You broke the rule."
"# Translate:

гордость

## Footnote

Это моя гордость.","pride

## Footnote

That's my pride and joy."
"# Translate:

невеста

## Footnote

Где невеста?","bride, fiancée

## Footnote

Where's the bride?"
"# Translate:

передний

## Footnote

Передняя дверь открыта.","front

## Footnote

The front door's open."
"# Translate:

отвести

## Footnote

Отведи его домой.","to take, to lead aside

## Footnote

Take him home."
"# Translate:

вклад

## Footnote

Это твой вклад.","contribution, deposit

## Footnote

That's your contribution."
"# Translate:

доказывать

## Footnote

Тебе не надо доказывать.","to prove

## Footnote

You don't have to prove it."
"# Translate:

отнести

## Footnote

Отнеси это туда.","to take, to drop off

## Footnote

Take this over there."
"# Translate:

соображение

## Footnote

По соображениям безопасности.","consideration, reason

## Footnote

For security reasons."
"# Translate:

наблюдаться

## Footnote

Это часто наблюдается.","to be observed, to occur

## Footnote

That's often seen."
"# Translate:

глухой

## Footnote

Он глухой на одно ухо.","deaf

## Footnote

He's deaf in one ear."
"# Translate:

металл

## Footnote

Это металл?","metal

## Footnote

Is this metal?"
"# Translate:

неправильный

## Footnote

Неправильный номер.","wrong, incorrect

## Footnote

Wrong number."
"# Translate:

совещание

## Footnote

Опять совещание.","meeting

## Footnote

Another meeting."
"# Translate:

краткий

## Footnote

Мне нужен краткий ответ.","brief, short

## Footnote

I need a short answer."
"# Translate:

подходящий

## Footnote

Это не подходящий момент.","suitable, right

## Footnote

This isn't a good time."
"# Translate:

сопровождать

## Footnote

Кто тебя сопровождает?","to accompany

## Footnote

Who's going with you?"
"# Translate:

теоретический

## Footnote

Это теоретический вопрос.","theoretical

## Footnote

That's a theoretical question."
"# Translate:

пребывание

## Footnote

Во время пребывания.","stay

## Footnote

During the stay."
"# Translate:

ложь

## Footnote

Это ложь.","lie

## Footnote

That's a lie."
"# Translate:

катастрофа

## Footnote

Это катастрофа.","disaster, catastrophe

## Footnote

This is a disaster."
"# Translate:

окружение

## Footnote

Хорошее окружение.","surroundings, circle

## Footnote

A good circle of people."
"# Translate:

процессор

## Footnote

Процессор слабый.","processor

## Footnote

The processor's weak."
"# Translate:

справедливый

## Footnote

Жизнь не всегда справедлива.","fair, just

## Footnote

Life is not always fair."
"# Translate:

профиль

## Footnote

Открой профиль.","profile

## Footnote

Open the profile."
"# Translate:

образоваться

## Footnote

Образовалась очередь.","to form

## Footnote

A line formed."
