Question,Answer
"# Translate:

to bathe

## Footnote

I want to bathe in the sea.","искупаться

## Footnote

Я хочу искупаться в море."
"# Translate:

marathon

## Footnote

I ran a marathon.","марафон

## Footnote

Я пробежал марафон."
"# Translate:

wilderness

## Footnote

They live in the wilderness.","глушь

## Footnote

Они живут в глуши."
"# Translate:

to echo

## Footnote

She began to echo his words.","вторить

## Footnote

Она начала вторить его словам."
"# Translate:

Riga

## Footnote

Riga is an old city.","Рига

## Footnote

Рига — старый город."
"# Translate:

orphanage

## Footnote

She grew up in an orphanage.","детдом

## Footnote

Она выросла в детдоме."
"# Translate:

elegance

## Footnote

I like her elegance.","изящество

## Footnote

Мне нравится её изящество."
"# Translate:

to flash

## Footnote

The light will flash.","вспыхнуть

## Footnote

Свет вспыхнет."
"# Translate:

adoption

## Footnote

They waited for the adoption.","усыновление

## Footnote

Они ждали усыновления."
"# Translate:

result from

## Footnote

Problems result from this.","проистекать

## Footnote

Проблемы проистекают из этого."
"# Translate:

holster

## Footnote

The gun is in the holster.","кобура

## Footnote

Пистолет в кобуре."
"# Translate:

unsolvable

## Footnote

This question seems unsolvable.","неразрешимый

## Footnote

Этот вопрос кажется неразрешимым."
"# Translate:

lower back

## Footnote

My lower back hurts.","поясница

## Footnote

У меня болит поясница."
"# Translate:

shudder

## Footnote

I will shudder at this news.","содрогнуться

## Footnote

Я содрогнусь от этой новости."
"# Translate:

to harm

## Footnote

He does not want to harm her.","навредить

## Footnote

Он не хочет навредить ей."
"# Translate:

anomaly

## Footnote

This weather is an anomaly.","аномалия

## Footnote

Эта погода — аномалия."
"# Translate:

document flow

## Footnote

I know our document flow.","документооборот

## Footnote

Я знаю наш документооборот."
"# Translate:

hissing

## Footnote

I hear the hissing.","шипение

## Footnote

Я слышу шипение."
"# Translate:

bore

## Footnote

He is such a bore.","зануда

## Footnote

Он такой зануда."
"# Translate:

zodiac

## Footnote

The zodiac has twelve signs.","зодиак

## Footnote

У зодиака двенадцать знаков."
"# Translate:

fiftieth

## Footnote

This is his fiftieth year.","пятидесятый

## Footnote

Это его пятидесятый год."
"# Translate:

accelerated

## Footnote

This is an accelerated course.","ускоренный

## Footnote

Это ускоренный курс."
"# Translate:

exhaustive

## Footnote

The answer was exhaustive.","исчерпывающий

## Footnote

Ответ был исчерпывающим."
"# Translate:

get into the swing of things

## Footnote

She will get into the swing of things soon.","войти во вкус

## Footnote

Она скоро войдёт во вкус."
"# Translate:

navel

## Footnote

I see her navel.","пупок

## Footnote

Я вижу её пупок."
"# Translate:

flea

## Footnote

The dog has a flea.","блоха

## Footnote

У собаки есть блоха."
"# Translate:

elaboration

## Footnote

The work needs elaboration.","проработка

## Footnote

Работа требует проработки."
"# Translate:

canyon

## Footnote

We saw a canyon.","каньон

## Footnote

Мы видели каньон."
"# Translate:

drive around

## Footnote

Let's drive around the city.","объехать

## Footnote

Давай объедем город."
"# Translate:

transnational

## Footnote

This is a transnational bank.","транснациональный

## Footnote

Это транснациональный банк."
"# Translate:

unscrupulous

## Footnote

He is an unscrupulous man.","недобросовестный

## Footnote

Он недобросовестный человек."
"# Translate:

to squeeze through

## Footnote

He could squeeze through.","пролезть

## Footnote

Он смог пролезть."
"# Translate:

psychosis

## Footnote

He has a psychosis.","психоз

## Footnote

У него психоз."
"# Translate:

scarecrow

## Footnote

The scarecrow stands in the field.","чучело

## Footnote

Чучело стоит в поле."
"# Translate:

enlighten

## Footnote

Please enlighten me.","просветить

## Footnote

Пожалуйста, просветите меня."
"# Translate:

stylistics

## Footnote

He knows stylistics.","стилистика

## Footnote

Он знает стилистику."
"# Translate:

meteorite

## Footnote

A meteorite fell in the field.","метеорит

## Footnote

Метеорит упал в поле."
"# Translate:

canned

## Footnote

Canned food is ready.","консервированный

## Footnote

Консервированная еда готова."
"# Translate:

executive committee

## Footnote

The executive committee is here.","исполком

## Footnote

Исполком здесь."
"# Translate:

reproach

## Footnote

She heard his reproach.","укор

## Footnote

Она слышала его укор."
"# Translate:

to grasp

## Footnote

He grasped the hand.","схватить

## Footnote

Он схватил руку."
"# Translate:

psychoanalyst

## Footnote

The psychoanalyst is here.","психоаналитик

## Footnote

Психоаналитик здесь."
"# Translate:

inviolability

## Footnote

The inviolability of the home is important.","неприкосновенность

## Footnote

Неприкосновенность дома важна."
"# Translate:

meaningfully

## Footnote

He looked at her meaningfully.","многозначительно

## Footnote

Он посмотрел на неё многозначительно."
"# Translate:

calculator

## Footnote

I need a calculator.","калькулятор

## Footnote

Мне нужен калькулятор."
"# Translate:

unusually

## Footnote

She spoke unusually.","необычно

## Footnote

Она говорила необычно."
"# Translate:

boarding house

## Footnote

She stayed at a boarding house.","пансион

## Footnote

Она остановилась в пансионе."
"# Translate:

pious

## Footnote

She led a pious life.","благочестивый

## Footnote

Она вела благочестивую жизнь."
"# Translate:

colonist

## Footnote

The colonist built a house.","колонист

## Footnote

Колонист построил дом."
"# Translate:

electrician

## Footnote

The electrician came today.","электрик

## Footnote

Электрик пришёл сегодня."
"# Translate:

slide down

## Footnote

The snow will slide down.","сползти

## Footnote

Снег сползёт."
"# Translate:

small flock

## Footnote

A small flock of birds flew.","стайка

## Footnote

Стайка птиц летела."
"# Translate:

madman

## Footnote

The madman laughed.","безумец

## Footnote

Безумец смеялся."
"# Translate:

unauthorized

## Footnote

This is unauthorized work.","несанкционированный

## Footnote

Это несанкционированная работа."
"# Translate:

battleship

## Footnote

The battleship is at sea.","линкор

## Footnote

Линкор в море."
"# Translate:

admission

## Footnote

Admission was closed.","допуск

## Footnote

Допуск был закрыт."
"# Translate:

two-year

## Footnote

She started a two-year course.","двухлетний

## Footnote

Она начала двухлетний курс."
"# Translate:

endurance

## Footnote

He has great endurance.","выносливость

## Footnote

У него большая выносливость."
"# Translate:

to be honored

## Footnote

She will be honored.","удостоиться

## Footnote

Она удостоится чести."
"# Translate:

consensus

## Footnote

We reached a consensus.","консенсус

## Footnote

Мы достигли консенсуса."
"# Translate:

Tula

## Footnote

Tula is an old city.","Тула

## Footnote

Тула — старый город."
"# Translate:

Atlantic

## Footnote

Atlantic winds are cold.","атлантический

## Footnote

Атлантические ветры холодные."
"# Translate:

gazelle

## Footnote

I saw a gazelle.","газель

## Footnote

Я видел газель."
"# Translate:

to be crowned

## Footnote

The work will be crowned with success.","увенчаться

## Footnote

Работа увенчается успехом."
"# Translate:

bad weather

## Footnote

Bad weather ruined the day.","непогода

## Footnote

Непогода испортила день."
"# Translate:

take root

## Footnote

This idea will take root.","прижиться

## Footnote

Эта идея приживётся."
"# Translate:

espionage

## Footnote

Espionage is dangerous.","шпионаж

## Footnote

Шпионаж опасен."
"# Translate:

Cuban

## Footnote

She loves Cuban music.","кубинский

## Footnote

Она любит кубинскую музыку."
"# Translate:

threateningly

## Footnote

He looked at me threateningly.","угрожающе

## Footnote

Он посмотрел на меня угрожающе."
"# Translate:

English-speaking

## Footnote

This is an English-speaking city.","англоязычный

## Footnote

Это англоязычный город."
"# Translate:

adopt

## Footnote

They want to adopt this idea.","перенять

## Footnote

Они хотят перенять эту идею."
"# Translate:

to interest

## Footnote

Books interest her.","интересовать

## Footnote

Книги интересуют её."
"# Translate:

flakes

## Footnote

I eat flakes.","хлопья

## Footnote

Я ем хлопья."
"# Translate:

tribal

## Footnote

This is a tribal dance.","племенной

## Footnote

Это племенной танец."
"# Translate:

sort out

## Footnote

I need to sort out my papers.","перебрать

## Footnote

Мне нужно перебрать свои бумаги."
"# Translate:

porter

## Footnote

The porter carried our bags.","носильщик

## Footnote

Носильщик нёс наши сумки."
"# Translate:

expend

## Footnote

We will expend our resources.","израсходовать

## Footnote

Мы израсходуем ресурсы."
"# Translate:

Pacific

## Footnote

I see the Pacific coast.","тихоокеанский

## Footnote

Я вижу тихоокеанское побережье."
"# Translate:

self-improvement

## Footnote

He wants self-improvement.","самосовершенствование

## Footnote

Он хочет самосовершенствования."
"# Translate:

perch

## Footnote

I caught a perch yesterday.","окунь

## Footnote

Вчера я поймал окуня."
"# Translate:

north wind

## Footnote

A cold north wind blew.","норд

## Footnote

Дул холодный норд."
"# Translate:

botanical

## Footnote

She knows the botanical garden.","ботанический

## Footnote

Она знает ботанический сад."
"# Translate:

impermeable

## Footnote

This wall is impermeable.","непроницаемый

## Footnote

Эта стена непроницаемая."
"# Translate:

improvisation

## Footnote

He loves improvisation.","импровизация

## Footnote

Он любит импровизацию."
"# Translate:

civilizational

## Footnote

This is a civilizational question.","цивилизационный

## Footnote

Это цивилизационный вопрос."
"# Translate:

cosmonautics

## Footnote

He knows cosmonautics.","космонавтика

## Footnote

Он знает космонавтику."
"# Translate:

headphone

## Footnote

I lost my headphone yesterday.","наушник

## Footnote

Я потерял наушник вчера."
"# Translate:

to draw in

## Footnote

He began to draw in air.","втягивать

## Footnote

Он начал втягивать воздух."
"# Translate:

loose

## Footnote

The soil was loose.","рыхлый

## Footnote

Почва была рыхлой."
"# Translate:

to prevent

## Footnote

They try to prevent war.","предотвращать

## Footnote

Они пытаются предотвращать войну."
"# Translate:

inventory

## Footnote

We need new inventory.","инвентарь

## Footnote

Нам нужен новый инвентарь."
"# Translate:

neutralize

## Footnote

We must neutralize this.","нейтрализовать

## Footnote

Мы должны нейтрализовать это."
"# Translate:

oval

## Footnote

The table has an oval form.","овальный

## Footnote

Стол имеет овальную форму."
"# Translate:

tailcoat

## Footnote

He wore a tailcoat.","фрак

## Footnote

Он надел фрак."
"# Translate:

bridesmaid

## Footnote

She was a bridesmaid.","подружка невесты

## Footnote

Она была подружкой невесты."
"# Translate:

schizophrenia

## Footnote

He has schizophrenia.","шизофрения

## Footnote

У него шизофрения."
"# Translate:

to cut in

## Footnote

They want to cut in a lock.","врезать

## Footnote

Они хотят врезать замок."
"# Translate:

dig up

## Footnote

They will dig up the old tree.","выкопать

## Footnote

Они выкопают старое дерево."
"# Translate:

field marshal

## Footnote

The field marshal led the army.","фельдмаршал

## Footnote

Фельдмаршал вёл армию."
"# Translate:

cobbler

## Footnote

The cobbler made my shoes.","сапожник

## Footnote

Сапожник сделал мою обувь."
"# Translate:

idiocy

## Footnote

That was idiocy.","идиотизм

## Footnote

Это был идиотизм."
"# Translate:

immigration

## Footnote

Immigration is growing.","иммиграция

## Footnote

Иммиграция растёт."
"# Translate:

go mad

## Footnote

He went mad.","обезуметь

## Footnote

Он обезумел."
"# Translate:

optional

## Footnote

This task is optional.","необязательный

## Footnote

Эта задача необязательная."
"# Translate:

to wash one's face

## Footnote

I wash my face every morning.","умываться

## Footnote

Я умываюсь каждое утро."
"# Translate:

apocalypse

## Footnote

The apocalypse seemed inevitable.","апокалипсис

## Footnote

Апокалипсис казался неизбежным."
"# Translate:

to manufacture

## Footnote

They manufacture new cars.","изготавливать

## Footnote

Они изготавливают новые машины."
"# Translate:

weave

## Footnote

She weaves beautiful baskets.","плести

## Footnote

Она плетёт красивые корзины."
