Question,Answer
"# Translate:

биография

## Footnote

Я читал его биографию.","biography

## Footnote

I read his biography."
"# Translate:

отверстие

## Footnote

В стене есть отверстие.","hole

## Footnote

There is a hole in the wall."
"# Translate:

экспертиза

## Footnote

Нужна экспертиза дома.","examination

## Footnote

The house needs an examination."
"# Translate:

гордый

## Footnote

Он гордый отец.","proud

## Footnote

He is a proud father."
"# Translate:

рюкзак

## Footnote

Где мой рюкзак?","backpack

## Footnote

Where is my backpack?"
"# Translate:

строение

## Footnote

Это старое строение.","building, structure

## Footnote

This is an old building."
"# Translate:

кружка

## Footnote

Дай мне кружку.","mug, cup

## Footnote

Give me a mug."
"# Translate:

ноутбук

## Footnote

Я купил новый ноутбук.","laptop

## Footnote

I bought a new laptop."
"# Translate:

поклонник

## Footnote

У неё есть поклонник.","admirer, fan

## Footnote

She has an admirer."
"# Translate:

покончить

## Footnote

Покончи с этим.","put an end to, finish

## Footnote

Put an end to this."
"# Translate:

травма

## Footnote

У него травма руки.","injury, trauma

## Footnote

He has an injury of the hand."
"# Translate:

скучный

## Footnote

Этот фильм скучный.","boring, dull

## Footnote

This movie is boring."
"# Translate:

крутить

## Footnote

Не крути это.","twist, spin

## Footnote

Don't twist this."
"# Translate:

стремительно

## Footnote

Он стремительно растёт.","rapidly, swiftly

## Footnote

He grows rapidly."
"# Translate:

сорвать

## Footnote

Он сорвал цветок.","pluck, tear off

## Footnote

He plucked a flower."
"# Translate:

ежедневный

## Footnote

Это моя ежедневная работа.","daily, everyday

## Footnote

This is my daily work."
"# Translate:

адмирал

## Footnote

Адмирал ждёт нас.","admiral

## Footnote

The admiral waits for us."
"# Translate:

походить

## Footnote

Ты походишь на отца.","resemble, look like

## Footnote

You resemble your father."
"# Translate:

прислушиваться

## Footnote

Я прислушиваюсь к нему.","listen, heed

## Footnote

I listen to him."
"# Translate:

аж

## Footnote

Он ждал аж час.","even, as much as

## Footnote

He even waited an hour."
"# Translate:

дура

## Footnote

Она полная дура.","fool, idiot

## Footnote

She is a complete fool."
"# Translate:

обязать

## Footnote

Его обязали ждать.","obligate, compel

## Footnote

They obligated him to wait."
"# Translate:

бедро

## Footnote

У меня болит бедро.","thigh, hip

## Footnote

My thigh hurts."
"# Translate:

потомок

## Footnote

Он потомок царя.","descendant, offspring

## Footnote

He is a descendant of the tsar."
"# Translate:

операционный

## Footnote

Это операционный стол.","surgical, operational

## Footnote

This is a surgical table."
"# Translate:

отнять

## Footnote

Он отнял у меня книгу.","take away, subtract

## Footnote

He took away my book."
"# Translate:

осветить

## Footnote

Солнце осветило комнату.","illuminate, light up

## Footnote

The sun illuminated the room."
"# Translate:

слон

## Footnote

Слон очень большой.","elephant

## Footnote

The elephant is very big."
"# Translate:

полезть

## Footnote

Он полез на дерево.","climb, crawl

## Footnote

He climbed the tree."
"# Translate:

предусматривать

## Footnote

Закон предусматривает это.","provide for, stipulate

## Footnote

The law provides for this."
"# Translate:

печатный

## Footnote

Это печатный текст.","printed

## Footnote

This is printed text."
"# Translate:

любовный

## Footnote

Это любовное письмо.","love, amorous

## Footnote

This is a love letter."
"# Translate:

непрерывный

## Footnote

Это непрерывный шум.","continuous, uninterrupted

## Footnote

This is continuous noise."
"# Translate:

панель

## Footnote

Сними эту панель.","panel

## Footnote

Take off this panel."
"# Translate:

сдача

## Footnote

Сдачи не надо.","change, surrender

## Footnote

Keep the change."
"# Translate:

патрон

## Footnote

У него нет патронов.","cartridge

## Footnote

He has no cartridges."
