118	This is my eye.	Это мой глаз.
129	This is part of the work.	Это часть работы.
144	This has no relation to me.	Это не имеет отношения ко мне.
148	I have three books.	У меня три книги.
196	They seem good.	Они кажутся хорошими.
234	What is the date today?	Какое сегодня число?
241	This is my leg.	Это моя нога.
243	Thank you for your help.	Спасибо за вашу помощь.
246	I have a thousand books.	У меня тысяча книг.
315	When will you return?	Когда ты вернёшься?
359	This is a Soviet book.	Это советская книга.
364	My mom is here.	Моя мама здесь.
373	He will lie here.	Он будет лежать здесь.
395	At least I know this.	Хоть это я знаю.
421	This means that he knows.	Это значит, что он знает.
458	I can do this easily.	Я могу легко это сделать.
468	I have a million questions.	У меня миллион вопросов.
485	The flow of water is strong.	Течение воды сильное.
495	One meter is enough.	Одного метра достаточно.
508	This is an internal problem.	Это внутренняя проблема.
510	What do you demand?	Что ты требуешь?
534	He is a close friend.	Он близкий друг.
554	Where is her book?	Где её книга?
564	The population is growing.	Население растёт.
600	I want a bigger house.	Я хочу больший дом.
655	This does not work.	Это не действует.
687	I know a specialist.	Я знаю специалиста.
723	Thank you for your protection.	Спасибо за вашу защиту.
750	Thank you for this service.	Спасибо за эту услугу.
765	There is more space here.	Здесь больше пространства.
787	That was scary.	Это было страшно.
794	The analysis is important.	Анализ важен.
823	His faith is strong.	Его вера сильна.
849	When do you return?	Когда ты возвращаешься?
877	We will determine the result.	Мы определим результат.
896	Practice is important.	Практика важна.
910	The child will grow.	Ребёнок будет расти.
914	Do not call him.	Не зови его.
932	This is permanent work.	Это постоянная работа.
942	Today is a holiday.	Сегодня праздник.
950	This is a small part.	Это малая часть.
951	Preparation takes time.	Подготовка занимает время.
998	This is a financial problem.	Это финансовая проблема.
1005	We will draw up a list.	Мы составим список.
1008	These books differ.	Эти книги отличаются.
1009	Carry this here.	Неси это сюда.
1022	We see the whole.	Мы видим целое.
1026	We have an extra day.	У нас есть дополнительный день.
1036	Our federation is strong.	Наша федерация сильна.
1040	He wears a white shirt.	Он носит белую рубашку.
1047	This takes up my time.	Это занимает моё время.
1070	I want to call Mom.	Я хочу позвонить маме.
1083	We move slowly.	Мы медленно двигаемся.
1088	We will change this.	Мы изменим это.
1094	What is the date today?	Какая сегодня дата?
1111	Point out the house to him.	Укажи ему на дом.
1113	The translation is good.	Перевод хороший.
1137	There is snow on the road.	На дороге лежит снег.
1143	He wants fame.	Он хочет славы.
1173	I know a good workman.	Я знаю хорошего мастера.
1206	This is a minor problem.	Это мелкая проблема.
1239	I will send a letter.	Я пошлю письмо.
1249	My brain does not work well.	Мой мозг плохо работает.
1253	His dependence on her is clear.	Его зависимость от неё очевидна.
1283	This is a good tool.	Это хороший инструмент.
1320	I want to talk to you.	Я хочу поговорить с тобой.
1328	His honor is important.	Его честь важна.
1367	We have enough capital.	У нас достаточно капитала.
1377	The beauty of this city is clear.	Красота этого города очевидна.
1386	The device does not work.	Аппарат не работает.
1416	Can you give me medical help?	Вы можете оказать мне медицинскую помощь?
1454	That is the background.	Это фон.
1480	Do we have permission?	У нас есть разрешение?
1516	We are in contact.	Мы в контакте.
1538	We will talk after the discussion.	Мы поговорим после обсуждения.
1545	These events are related.	Это связанные события.
1548	What is the assignment for tomorrow?	Какое задание на завтра?
1557	Do not repeat that.	Не повторяй это.
1566	This is a family problem.	Это семейная проблема.
1587	He is ill and therefore will not come.	Он болен и, соответственно, не придёт.
1598	I want to meet you.	Я хочу познакомиться с тобой.
1618	He is outside the house.	Он вне дома.
1655	This is a valuable book.	Это ценная книга.
1666	The bridge is long.	Мост длинный.
1672	That is a rumor.	Это слух.
1674	This is for your good.	Это для твоего блага.
1711	When do you arrive?	Когда ты приезжаешь?
1726	The gate is open.	Ворота открыты.
1788	It is an experiment.	Это эксперимент.
1795	He does not want to die.	Он не хочет умирать.
1831	Besides that, I know nothing.	Помимо этого, я ничего не знаю.
1857	The back door is open.	Задняя дверь открыта.
1859	Work lies ahead of us.	Нам предстоит работа.
1860	There is a pile of books here.	Здесь куча книг.
1874	The playground is open.	Детская площадка открыта.
1907	This is a financial problem.	Это денежная проблема.
1923	Sport is important to him.	Спорт важен для него.
2024	My father was a peasant.	Мой отец был крестьянином.
2074	The press writes about this.	Пресса пишет об этом.
2136	He works actively.	Он активно работает.
2140	Follow the law strictly.	Следуйте закону строго.
2143	This is the current plan.	Это текущий план.
2173	We can live on this money.	Мы можем прожить на эти деньги.
2235	I admit that you are right.	Я признаю, что вы правы.
2246	The engine does not work.	Двигатель не работает.
2248	What do you plan?	Что ты планируешь?
2264	This is a strategic plan.	Это стратегический план.
2313	We will allow for that.	Мы это предусмотрим.
2357	I have an egg.	У меня есть яйцо.
2365	Who will you intend this gift for?	Для кого ты предназначишь этот подарок?
2368	Snow will cover the road.	Снег покроет дорогу.
2480	He will deal damage.	Он нанесёт ущерб.
2513	This is a strange statement.	Это странное высказывание.
2519	I want to hear the new album.	Я хочу послушать новый альбом.
2520	Are you at the train station?	Ты на вокзале?
2534	Is the express train here?	Скорый поезд здесь?
2544	The difference is obvious.	Разница явная.
2559	The phrase has a strange structure.	У фразы странное построение.
2583	Please calm down.	Пожалуйста, успокойся.
2630	Without context I do not understand.	Без контекста я не понимаю.
2636	The psychologist helped me.	Психолог мне помог.
2679	The satellite does not answer.	Спутник не отвечает.
2694	There is strong competition.	Здесь сильная конкуренция.
2704	This is a quiet small town.	Это тихий городок.
2760	This area is beautiful.	Эта местность красивая.
2772	We will limit the time.	Мы ограничим время.
2787	Everything will work out.	Всё будет складываться удачно.
2885	This is my final answer.	Это мой окончательный ответ.
2896	He is an important public figure.	Он важный общественный деятель.
2909	Do not get in the way.	Не помешай.
2924	I can see the horizon.	Я вижу горизонт.
2955	I often run into this.	Я часто с этим сталкиваюсь.
2957	You may feel like tea.	Тебе может захотеться чая.
3009	We have a corporate plan.	У нас есть корпоративный план.
3067	This worries me.	Это меня волнует.
3068	The wound is deep.	Рана глубокая.
3090	A smile gives beauty to the face.	Улыбка придаёт лицу красоту.
3094	This is a mental problem.	Это психическая проблема.
3102	The cat jumps from the table.	Кот прыгает со стола.
3151	I like his humor.	Мне нравится его юмор.
3171	He has the authority to do this.	У него есть полномочия сделать это.
3174	I will feel the cold.	Я ощущу холод.
3268	This is household work.	Это хозяйственная работа.
3342	He will descend to the river.	Он опустится к реке.
3348	The coffin is in the house.	Гроб находится в доме.
3389	I have ten euros.	У меня десять евро.
3500	This is a useless book.	Это бесполезная книга.
3565	This is a collective plan.	Это коллективный план.
3635	This will determine the result.	Это обусловит результат.
3704	My elbow is red.	Мой локоть красный.
3708	His achievements are important.	Его заслуги важны.
3832	My stomach is full.	Мой желудок полон.
3906	The rat runs on the road.	Крыса бежит по дороге.
4009	They will take away your money.	Они отберут у тебя деньги.
4065	The program is functional.	Программа функциональна.
4084	I want to change my shirt.	Я хочу поменять рубашку.
4144	He takes away my books.	Он забирает мои книги.
4146	This is a full life.	Это полноценная жизнь.
4153	The movie ends soon.	Фильм скоро кончается.
4159	In total, we have ten books.	В совокупности у нас десять книг.
4216	The stars sparkle.	Звёзды сверкают.
4275	I could not refrain from this.	Я не смог удержаться от этого.
4305	Knowledge can be passed on.	Знание может передаваться.
4322	This is a sensible thought.	Это здравая мысль.
4414	There is fat here.	Здесь есть жир.
4436	You need to stretch your leg.	Тебе нужно вытянуть ногу.
4567	Check the system's operation.	Проверьте функционирование системы.
4570	She knows this note.	Она знает эту ноту.
4575	The significance of the result is clear.	Значимость результата очевидна.
4623	We limit the time.	Мы ограничиваем время.
4653	Her response was good.	Её отклик был хорошим.
4674	The flight leaves in the morning.	Рейс отправляется утром.
4678	How does the case stand?	Как обстоит дело?
4738	The pyramid is high.	Пирамида высокая.
4769	She will lay out the books.	Она выложит книги.
4834	I go to a club.	Я хожу в кружок.
4843	He refused emphatically.	Он категорически отказался.
5084	Do not spit here.	Не плюй здесь.
5148	Snow covers the road.	Снег покрывает дорогу.
5153	The motionless man lay on the bed.	Неподвижный человек лежал на кровати.
5162	The church dome is high.	Купол церкви высокий.
5230	He directs the camera at the house.	Он наводит камеру на дом.
5233	Connect the computer.	Подключи компьютер.
5281	They will liquidate the company.	Они ликвидируют компанию.
5285	This is a border area.	Это пограничная местность.
5342	What a beautiful song.	Какая красивая песенка.
5351	Turn off the computer.	Отключи компьютер.
5406	The law states that this is allowed.	Закон гласит, что это разрешено.
5452	He began to glance at the door.	Он стал поглядывать на дверь.
5519	They defend their country.	Они отстаивают свою страну.
5558	Do not spread this information.	Не распространяй эту информацию.
5602	The old sage spoke to me.	Старый мудрец говорил со мной.
5657	There was sadness in his voice.	В его голосе была грусть.
5690	Adaptation takes time.	Адаптация требует времени.
5713	Stretch the rope.	Натяни верёвку.
5714	This room connects to the kitchen.	Эта комната сообщается с кухней.
5814	This drives me to despair.	Это доводит меня до отчаяния.
5866	He has tact.	У него есть такт.
5973	This is a constructive plan.	Это конструктивный план.
5997	He spat on the road.	Он плюнул на дорогу.
6011	My father's liver is healthy.	Печень моего отца здорова.
6105	The percussion section plays loudly.	Группа ударных играет громко.
6171	This is a university building.	Это университетское здание.
6223	The disease weakened him.	Болезнь ослабила его.
6235	They will subject him to a test.	Его подвергнут испытанию.
6279	This is a mistaken answer.	Это ошибочный ответ.
6296	Early detection is important.	Раннее обнаружение важно.
6303	It is hard to lug the box.	Тяжело переть ящик.
6318	He has work experience.	У него есть стаж.
6503	Water can flow from here.	Отсюда может литься вода.
6511	His dismissal shocked the office.	Его увольнение потрясло офис.
6514	We must supply the army with food.	Мы должны снабдить армию едой.
6524	The number of people will decrease.	Число людей сократится.
6555	The board approved the plan.	Коллегия одобрила план.
6565	The serf worked in the field.	Крепостной работал в поле.
6571	His generalization is useful.	Его обобщение полезно.
6603	The wrestler fell on the floor.	Борец упал на пол.
6621	This is not in my competence.	Это не входит в мою компетенцию.
6628	The skeleton lies in the cave.	Скелет лежит в пещере.
6667	We need a major repair.	Нужен капитальный ремонт.
6669	This is an unfair law.	Это несправедливый закон.
6678	The corpse lay on the road.	Мертвец лежал на дороге.
6686	This is an age difference.	Это возрастное различие.
6699	We took the books away from the house.	Мы вывезли книги из дома.
6762	He has a managerial role.	У него руководящая роль.
6955	The palm is high.	Пальма высокая.
6961	Leaves covered the road.	Листва покрыла дорогу.
7007	I found a cent on the road.	Я нашёл цент на дороге.
7095	This is our heritage.	Это наше достояние.
7257	Plants need moisture.	Растениям нужна влага.
7260	Please forgive the inconvenience.	Пожалуйста, простите за неудобство.
7302	The vase broke.	Ваза разбилась.
7409	He refuted the claim.	Он опроверг утверждение.
7483	Buy a dozen books.	Купи дюжину книг.
7596	Boil an egg.	Свари яйцо.
7598	We must reduce the price.	Надо сокращать цену.
7631	He slips off the roof.	Он срывается с крыши.
7644	She is putting books in the bag.	Она укладывает книги в сумку.
7736	I approve the plan.	Я одобряю план.
7869	I do not have a penny.	У меня нет ни гроша.
7882	She has an expressive face.	У неё выразительное лицо.
7884	He is the founder of this company.	Он учредитель этой компании.
8052	I will think over your plan.	Я обдумаю твой план.
8163	The news spread quickly.	Новость быстро распространилась.
8193	The parrot sits in the tree.	Попугай сидит на дереве.
8215	He is prone to disease.	Он подвержен болезням.
8360	This is a wireless computer.	Это беспроводный компьютер.
8391	Dub the movie.	Озвучь фильм.
8503	She has a feline face.	У неё кошачье лицо.
8523	A flare-up of the disease began.	Началось обострение болезни.
8537	Charge the battery.	Заряди батарею.
8553	Rub your hand.	Потри руку.
8568	She is a participant in the meeting.	Она участница встречи.
8572	Water drips from the roof.	Вода капает с крыши.
8575	A small leaf lies on the road.	На дороге лежит листочек.
8584	I hear the siren.	Я слышу сирену.
8621	What caliber is the gun?	Какой калибр у ружья?
8632	He waited for punishment.	Он ждал кары.
8653	There is a new chip in the computer.	В компьютере новый чип.
8779	Do not touch the boiling water.	Не трогай кипяток.
8847	This is a one-sided agreement.	Это одностороннее соглашение.
8926	We need to isolate the house.	Надо изолировать дом.
9014	Smoke can curl above the roof.	Дым может виться над крышей.
9171	The landing was successful.	Высадка прошла успешно.
9173	He is a kind eccentric.	Он добрый чудак.
9237	The telephone started ringing.	Телефон зазвонил.
9338	Quotation is appropriate here.	Цитирование здесь уместно.
9380	This was a terrible reprisal.	Это была страшная расправа.
9459	This is a lifesaving idea.	Это спасительная идея.
9490	She refutes the claim.	Она опровергает утверждение.
9519	Reduction to this form is needed.	Нужно приведение к этой форме.
9528	Daddy bought me a new book.	Папочка купил мне новую книгу.
9595	This is a deputy's question.	Это депутатский вопрос.
9643	This is mockery.	Это издевательство.
9669	That was a strange hallucination.	Это была странная галлюцинация.
9706	This is Vologda cheese.	Это вологодский сыр.
9714	The case for the telephone is new.	Чехол для телефона новый.
9721	This is a subsidiary company.	Это дочерняя компания.
9957	This is a cosmetic repair.	Это косметический ремонт.
