Question,Answer
"# Translate:

резкий

## Footnote

Резкий запах.","sharp, abrupt

## Footnote

A sharp smell."
"# Translate:

сверху

## Footnote

Положи сверху.","above, on top

## Footnote

Put it on top."
"# Translate:

спрос

## Footnote

Спрос большой.","demand

## Footnote

Demand is high."
"# Translate:

различие

## Footnote

В чём различие?","difference, distinction

## Footnote

What's the difference?"
"# Translate:

учение

## Footnote

Странное учение.","doctrine, teaching

## Footnote

A strange doctrine."
"# Translate:

трое

## Footnote

Нас трое.","three, three people

## Footnote

There are three of us."
"# Translate:

отмечать

## Footnote

Сегодня отмечаем?","to celebrate, to mark

## Footnote

Celebrating today?"
"# Translate:

телефонный

## Footnote

Телефонный звонок.","telephone, phone

## Footnote

A phone call."
"# Translate:

восприятие

## Footnote

У тебя другое восприятие.","perception

## Footnote

You have a different perception."
"# Translate:

открыться

## Footnote

Дверь откроется.","to open, to open up

## Footnote

The door will open."
"# Translate:

грязный

## Footnote

Стол грязный.","dirty, filthy

## Footnote

The table is dirty."
"# Translate:

доказательство

## Footnote

Это не доказательство.","proof, evidence

## Footnote

That's not proof."
"# Translate:

деловой

## Footnote

Это деловой разговор.","business, businesslike

## Footnote

This is a business conversation."
"# Translate:

пятница

## Footnote

Давай в пятницу.","Friday

## Footnote

Let's do Friday."
"# Translate:

кольцо

## Footnote

Где кольцо?","ring

## Footnote

Where's the ring?"
"# Translate:

продавец

## Footnote

Спроси у продавца.","seller, salesperson

## Footnote

Ask the salesperson."
"# Translate:

захватить

## Footnote

Захвати ключи!","to grab, to seize; to bring along

## Footnote

Bring the keys along!"
"# Translate:

персонаж

## Footnote

Кто главный персонаж?","character

## Footnote

Who's the main character?"
"# Translate:

величина

## Footnote

Какая величина?","size, magnitude

## Footnote

What's the size?"
"# Translate:

напряжение

## Footnote

В комнате напряжение.","tension

## Footnote

There's tension in the room."
"# Translate:

преподаватель

## Footnote

Спроси преподавателя.","teacher, instructor

## Footnote

Ask the instructor."
"# Translate:

обязательный

## Footnote

Это обязательный курс.","mandatory, obligatory

## Footnote

This course is mandatory."
"# Translate:

найтись

## Footnote

Ключи нашлись.","to turn up, to be found

## Footnote

The keys turned up."
"# Translate:

крестьянин

## Footnote

Мой отец был крестьянином.","peasant, farmer

## Footnote

My father was a peasant."
"# Translate:

приняться

## Footnote

Она принялась за работу.","to set about, to start

## Footnote

She set about the work."
"# Translate:

отказываться

## Footnote

Я отказываюсь.","to refuse, to decline

## Footnote

I refuse."
"# Translate:

предположить

## Footnote

Предположим, он прав.","to suppose, to assume

## Footnote

Suppose he's right."
"# Translate:

поймать

## Footnote

Поймал?","to catch

## Footnote

Did you catch it?"
"# Translate:

сельский

## Footnote

Сельский дом.","rural, country

## Footnote

A country house."
