Question,Answer
"# Translate:

донесение

## Footnote

Командир читает донесение.","report, dispatch

## Footnote

The commander reads the report."
"# Translate:

буквальный

## Footnote

Это буквальный перевод.","literal

## Footnote

This is a literal translation."
"# Translate:

инопланетянин

## Footnote

Мы видели инопланетянина.","alien, extraterrestrial

## Footnote

We saw an alien."
"# Translate:

зрелость

## Footnote

Зрелость приходит с опытом.","maturity, ripeness

## Footnote

Maturity comes with experience."
"# Translate:

унылый

## Footnote

Сегодня унылая погода.","dismal, dreary

## Footnote

The weather today is dismal."
"# Translate:

помойка

## Footnote

Он живёт рядом с помойкой.","dump, garbage dump

## Footnote

He lives near a dump."
"# Translate:

акула

## Footnote

Акула плыла возле пляжа.","shark

## Footnote

The shark swam near the beach."
"# Translate:

эмпирический

## Footnote

Это эмпирический метод.","empirical

## Footnote

This is an empirical method."
"# Translate:

действенный

## Footnote

Лекарство было действенным.","effective

## Footnote

The medicine was effective."
"# Translate:

норовить

## Footnote

Он норовит спорить.","keep trying to

## Footnote

He keeps trying to argue."
"# Translate:

безупречный

## Footnote

Её работа безупречна.","flawless, impeccable

## Footnote

Her work is flawless."
"# Translate:

несоответствие

## Footnote

Вот несоответствие в цифрах.","discrepancy, mismatch

## Footnote

Here is a discrepancy in the numbers."
"# Translate:

ложа

## Footnote

Мы выбрали ложу в театре.","box

## Footnote

We chose a box at the theater."
"# Translate:

самосознание

## Footnote

Самосознание приходит с возрастом.","self-awareness, self-consciousness

## Footnote

Self-awareness comes with age."
"# Translate:

экспресс

## Footnote

Экспресс отправляется в полдень.","express train

## Footnote

The express train leaves at noon."
"# Translate:

измерить

## Footnote

Измерь длину стола.","measure, gauge

## Footnote

Measure the length of the table."
"# Translate:

синяк

## Footnote

Она нашла синяк на своей руке.","bruise, contusion

## Footnote

She found a bruise on her arm."
"# Translate:

братский

## Footnote

Это братская помощь.","fraternal, brotherly

## Footnote

This is fraternal help."
"# Translate:

вяло

## Footnote

Он вяло ответил.","listlessly, languidly

## Footnote

He answered listlessly."
"# Translate:

оптовый

## Footnote

Это оптовый рынок.","wholesale, bulk

## Footnote

This is a wholesale market."
"# Translate:

включиться

## Footnote

Он хочет включиться в игру.","join, get involved

## Footnote

He wants to join the game."
"# Translate:

дивный

## Footnote

Какой дивный вечер!","wonderful, marvelous

## Footnote

What a wonderful evening!"
"# Translate:

позвоночник

## Footnote

У неё болит позвоночник.","spine, backbone

## Footnote

Her spine hurts."
"# Translate:

различить

## Footnote

Я не могу различить лица.","distinguish, discern

## Footnote

I cannot distinguish the faces."
"# Translate:

разгромить

## Footnote

Мы разгромили врага.","defeat, rout

## Footnote

We defeated the enemy."
"# Translate:

раздавить

## Footnote

Не раздави паука.","crush, squash

## Footnote

Do not crush the spider."
"# Translate:

представать

## Footnote

Он предстаёт перед судом.","appear, stand before

## Footnote

He appears before the court."
"# Translate:

обязывать

## Footnote

Закон обязывает нас платить.","to obligate, to bind

## Footnote

The law binds us to pay."
"# Translate:

тематический

## Footnote

Это тематический вечер.","thematic, topical

## Footnote

This is a thematic evening."
"# Translate:

двоюродный

## Footnote

Мой двоюродный брат здесь.","cousin

## Footnote

My cousin is here."
"# Translate:

забытый

## Footnote

Этот дом давно забыт.","forgotten, overlooked

## Footnote

This house was long forgotten."
"# Translate:

бессмысленно

## Footnote

Он бессмысленно смотрел в окно.","senselessly, meaninglessly

## Footnote

He looked out the window senselessly."
"# Translate:

вражда

## Footnote

Между ними вражда.","enmity, hostility

## Footnote

There is enmity between them."
"# Translate:

лирика

## Footnote

Она пишет красивую лирику.","lyric poetry, lyrics

## Footnote

She writes beautiful lyric poetry."
"# Translate:

иномарка

## Footnote

Он купил новую иномарку.","foreign car, import car

## Footnote

He bought a new foreign car."
"# Translate:

звонкий

## Footnote

У неё звонкий голос.","ringing, clear

## Footnote

She has a ringing voice."
"# Translate:

усадить

## Footnote

Усади гостей за стол.","to seat, to plant

## Footnote

Seat the guests at the table."
"# Translate:

расстегнуть

## Footnote

Расстегни пальто.","unfasten, unzip

## Footnote

Unfasten your coat."
"# Translate:

терраса

## Footnote

Мы сидим на террасе.","terrace, patio

## Footnote

We sit on the terrace."
"# Translate:

конюшня

## Footnote

Лошадь стоит в конюшне.","stable, stud farm

## Footnote

The horse stands in the stable."
"# Translate:

заграничный

## Footnote

У неё заграничный паспорт.","foreign, overseas

## Footnote

She has a foreign passport."
"# Translate:

псковский

## Footnote

Я люблю псковский край.","Pskov, Pskovian

## Footnote

I love the Pskov region."
"# Translate:

вздрагивать

## Footnote

Он вздрагивает от шума.","to shudder, to flinch

## Footnote

He shudders at the noise."
"# Translate:

инновация

## Footnote

Это важная инновация.","innovation, novelty

## Footnote

This is an important innovation."
"# Translate:

улочка

## Footnote

Мы идём по узкой улочке.","lane, alley

## Footnote

We walk along a narrow lane."
"# Translate:

косяк

## Footnote

Это мой большой косяк.","mistake, joint

## Footnote

This is my big mistake."
"# Translate:

погон

## Footnote

У офицера новый погон.","epaulet

## Footnote

The officer has a new epaulet."
"# Translate:

парализовать

## Footnote

Страх может парализовать вас.","paralyze, immobilize

## Footnote

Fear can paralyze you."
"# Translate:

покоиться

## Footnote

Он покоится с миром.","to rest, to lie

## Footnote

He rests in peace."
"# Translate:

наглядно

## Footnote

Он наглядно показал ошибку.","visually, clearly

## Footnote

He clearly showed the error."
"# Translate:

ворчать

## Footnote

Он ворчит с утра.","grumble, mutter

## Footnote

He grumbles in the morning."
"# Translate:

обдумать

## Footnote

Я обдумаю твоё предложение.","think over, consider

## Footnote

I will think over your proposal."
"# Translate:

смущение

## Footnote

Он скрыл своё смущение.","embarrassment, confusion

## Footnote

He hid his embarrassment."
"# Translate:

пленник

## Footnote

Пленник хочет свободы.","prisoner, captive

## Footnote

The prisoner wants freedom."
"# Translate:

следование

## Footnote

Следование правилам важно.","following, compliance

## Footnote

Following the rules is important."
"# Translate:

дядька

## Footnote

Мой дядька живёт во дворе.","uncle, guy

## Footnote

My uncle lives in the yard."
"# Translate:

эль

## Footnote

Он пьёт эль в баре.","ale, beer

## Footnote

He drinks ale at the bar."
"# Translate:

пробегать

## Footnote

Он любит пробегать через парк.","to run through, to skim

## Footnote

He likes to run through the park."
"# Translate:

колоть

## Footnote

Игла колет палец.","to prick, to sting

## Footnote

The needle pricks the finger."
"# Translate:

весло

## Footnote

Весло упало в воду.","oar, paddle

## Footnote

The oar fell into the water."
"# Translate:

рис

## Footnote

Я люблю рис на ужин.","rice

## Footnote

I like rice for dinner."
"# Translate:

проклинать

## Footnote

Не проклинай свою судьбу.","to curse, to damn

## Footnote

Do not curse your fate."
"# Translate:

редактировать

## Footnote

Мне нужно редактировать текст.","edit, modify

## Footnote

I need to edit the text."
"# Translate:

причудливый

## Footnote

Какой причудливый узор!","whimsical, fanciful

## Footnote

What a whimsical pattern!"
"# Translate:

подготовительный

## Footnote

Это подготовительный курс.","preparatory

## Footnote

This is a preparatory course."
"# Translate:

отвлекаться

## Footnote

Не отвлекайся на уроке.","to get distracted, to be distracted

## Footnote

Do not get distracted in class."
"# Translate:

надвигаться

## Footnote

Зима надвигается тихо.","approach, loom

## Footnote

Winter approaches silently."
"# Translate:

трафик

## Footnote

В городе большой трафик.","traffic, web traffic

## Footnote

There is heavy traffic in the city."
"# Translate:

опрокинуть

## Footnote

Он опрокинул стул.","overturn, knock over

## Footnote

He overturned the chair."
"# Translate:

поджидать

## Footnote

Она поджидает его у двери.","to wait for, to ambush

## Footnote

She waits for him at the door."
"# Translate:

соединиться

## Footnote

Мы хотим соединиться с ними.","to connect, to unite

## Footnote

We want to connect with them."
"# Translate:

соединяться

## Footnote

Они соединяются в одну группу.","connect, join

## Footnote

They join into one group."
"# Translate:

предрассудок

## Footnote

Это старый предрассудок.","prejudice, bias

## Footnote

This is an old prejudice."
"# Translate:

бомбить

## Footnote

Враг бомбит город.","bomb, raid

## Footnote

The enemy bombs the city."
"# Translate:

правящий

## Footnote

Правящая партия сильна.","ruling, governing

## Footnote

The ruling party is strong."
"# Translate:

мотивировать

## Footnote

Учитель умеет мотивировать класс.","motivate, encourage

## Footnote

The teacher can motivate the class."
"# Translate:

вертеть

## Footnote

Не верти кольцо на пальце.","twirl, spin

## Footnote

Do not twirl the ring on your finger."
"# Translate:

юношеский

## Footnote

У него юношеский вид.","youthful, juvenile

## Footnote

He has a youthful look."
"# Translate:

жадность

## Footnote

Его жадность всем видна.","greed, avarice

## Footnote

His greed is visible to all."
"# Translate:

виски

## Footnote

Налей виски в стакан.","whiskey, whisky

## Footnote

Pour the whiskey into the glass."
"# Translate:

диалектика

## Footnote

Диалектика — часть философии.","dialectics, dialectic

## Footnote

Dialectics is part of philosophy."
"# Translate:

взятие

## Footnote

Взятие города заняло день.","capture, taking

## Footnote

The capture of the city took a day."
"# Translate:

развлекаться

## Footnote

Он любит развлекаться.","to have fun, to entertain oneself

## Footnote

He likes to have fun."
"# Translate:

забавно

## Footnote

Это было забавно.","funny, amusing

## Footnote

That was funny."
"# Translate:

провоцировать

## Footnote

Не провоцируй конфликт.","provoke

## Footnote

Don't provoke a conflict."
"# Translate:

автономия

## Footnote

Им нужна автономия.","autonomy, self-government

## Footnote

They need autonomy."
"# Translate:

блеснуть

## Footnote

Звезда блеснула в небе.","shine, dazzle

## Footnote

The star shone in the sky."
"# Translate:

штучка

## Footnote

Мне нравится эта штучка.","thing, gadget

## Footnote

I like this thing."
"# Translate:

размещать

## Footnote

Где размещать мебель?","to place, to accommodate

## Footnote

Where do we place the furniture?"
"# Translate:

машинист

## Footnote

Машинист ведёт поезд.","engineer, machinist

## Footnote

The engineer drives the train."
"# Translate:

элегантный

## Footnote

Она в элегантном платье.","elegant, stylish

## Footnote

She is in an elegant dress."
"# Translate:

рассказчик

## Footnote

Он хороший рассказчик.","storyteller, narrator

## Footnote

He is a good storyteller."
"# Translate:

собрат

## Footnote

Он мой собрат.","brother, comrade

## Footnote

He is my comrade."
"# Translate:

скобка

## Footnote

Поставь число в скобки.","bracket, brace

## Footnote

Put the number in brackets."
"# Translate:

распустить

## Footnote

Они распустили группу.","dissolve, disband

## Footnote

They disbanded the group."
"# Translate:

педагогика

## Footnote

Педагогика — трудная область.","pedagogy

## Footnote

Pedagogy is a difficult field."
"# Translate:

рефлекс

## Footnote

Врач проверил рефлекс.","reflex, reflex action

## Footnote

The doctor checked the reflex."
"# Translate:

глухо

## Footnote

Он глухо ответил.","faintly, dull

## Footnote

He answered faintly."
"# Translate:

дилер

## Footnote

Дилер дал хорошую скидку.","dealer, distributor

## Footnote

The dealer gave a good discount."
"# Translate:

напрасный

## Footnote

Это напрасная попытка.","vain, futile

## Footnote

This is a vain attempt."
"# Translate:

пробел

## Footnote

Тут есть пробел.","space, gap

## Footnote

There is a space here."
"# Translate:

себестоимость

## Footnote

Себестоимость слишком высокая.","cost price, prime cost

## Footnote

The cost price is too high."
"# Translate:

форт

## Footnote

Форт стоит на холме.","fort, fortress

## Footnote

The fort stands on the hill."
"# Translate:

эстетика

## Footnote

Мне нравится эта эстетика.","aesthetics, esthetics

## Footnote

I like the aesthetics."
"# Translate:

сворачивать

## Footnote

Я сворачиваю письмо.","to fold, to roll up

## Footnote

I fold the letter."
"# Translate:

духовенство

## Footnote

Духовенство собралось в церкви.","clergy, clergyman

## Footnote

The clergy gathered in the church."
"# Translate:

помещик

## Footnote

Помещик жил в деревне.","landowner, nobleman

## Footnote

The landowner lived in the village."
"# Translate:

приписать

## Footnote

Ему приписали победу.","attribute, ascribe

## Footnote

They attributed the victory to him."
"# Translate:

эгоизм

## Footnote

Это чистый эгоизм.","egoism, selfishness

## Footnote

This is pure selfishness."
"# Translate:

пахать

## Footnote

Он пашет поле.","to plow, to work hard

## Footnote

He plows the field."
"# Translate:

драйвер

## Footnote

Нужен новый драйвер.","driver, software driver

## Footnote

We need a new driver."
"# Translate:

терапевт

## Footnote

Я был у терапевта.","general practitioner

## Footnote

I saw the general practitioner."
"# Translate:

скачок

## Footnote

В ценах произошёл резкий скачок.","jump

## Footnote

There was a sudden jump in prices."
"# Translate:

гавань

## Footnote

Корабль вошёл в гавань.","harbor, haven

## Footnote

The ship entered the harbor."
"# Translate:

земский

## Footnote

Земский врач приехал.","zemstvo

## Footnote

A zemstvo doctor arrived."
"# Translate:

цельный

## Footnote

Это цельный кусок.","solid, whole

## Footnote

This is a whole piece."
"# Translate:

затихнуть

## Footnote

Шум наконец затих.","subside, quiet down

## Footnote

The noise finally quieted down."
"# Translate:

вселенский

## Footnote

Это вселенская правда.","universal, ecumenical

## Footnote

This is a universal truth."
"# Translate:

неприличный

## Footnote

Это неприличный вопрос.","indecent, improper

## Footnote

That's an indecent question."
"# Translate:

числиться

## Footnote

Он числится здесь.","be listed

## Footnote

He is listed here."
"# Translate:

угощать

## Footnote

Я угощаю тебя чаем.","treat

## Footnote

I am treating you to tea."
"# Translate:

идиотский

## Footnote

Это идиотский план.","idiotic, stupid

## Footnote

That's an idiotic plan."
"# Translate:

духовно

## Footnote

Она духовно сильна.","spiritually, spiritually-minded

## Footnote

She is spiritually strong."
"# Translate:

затмение

## Footnote

Сегодня будет затмение.","eclipse, occultation

## Footnote

There will be an eclipse today."
"# Translate:

первенство

## Footnote

Мы выиграли первенство.","championship, primacy

## Footnote

We won the championship."
"# Translate:

опередить

## Footnote

Я тебя опережу.","overtake, outstrip

## Footnote

I will overtake you."
"# Translate:

толковый

## Footnote

Он толковый парень.","sensible, explanatory

## Footnote

He is a sensible guy."
"# Translate:

ловкий

## Footnote

Он ловкий парень.","skillful, agile

## Footnote

He is a skillful guy."
"# Translate:

оппозиционный

## Footnote

Это оппозиционная газета.","oppositional, opposition

## Footnote

This is an opposition newspaper."
"# Translate:

оккупировать

## Footnote

Враги оккупировали город.","occupy

## Footnote

The enemy occupied the city."
"# Translate:

насильственный

## Footnote

Это насильственное преступление.","violent, forcible

## Footnote

This is a violent crime."
"# Translate:

нажатие

## Footnote

Одно нажатие кнопки.","press, push

## Footnote

One press of the button."
"# Translate:

дежурить

## Footnote

Я дежурю сегодня.","to be on duty, to stand watch

## Footnote

I am on duty today."
"# Translate:

сменяться

## Footnote

Дни быстро сменяются.","to change, to alternate

## Footnote

The days change quickly."
"# Translate:

скоростной

## Footnote

Это скоростной поезд.","high-speed, rapid

## Footnote

This is a high-speed train."
"# Translate:

опоздание

## Footnote

Его опоздание всем заметно.","lateness

## Footnote

His lateness is obvious to all."
"# Translate:

переодеться

## Footnote

Мне надо переодеться.","change clothes, get changed

## Footnote

I need to change clothes."
"# Translate:

скудный

## Footnote

У нас скудный ужин.","meager, scanty

## Footnote

We have a meager dinner."
"# Translate:

барин

## Footnote

Барин вышел во двор.","master, lord

## Footnote

The master went out to the yard."
"# Translate:

обеспечиваться

## Footnote

Питание обеспечивается.","to be provided, to be ensured

## Footnote

Food is provided."
"# Translate:

диабет

## Footnote

У неё диабет.","diabetes, diabetes mellitus

## Footnote

She has diabetes."
"# Translate:

воистину

## Footnote

Это воистину так.","truly, indeed

## Footnote

This is truly so."
"# Translate:

страж

## Footnote

Страж стоял у ворот.","guard, sentinel

## Footnote

The guard stood at the gate."
"# Translate:

ступня

## Footnote

У меня болит ступня.","foot, sole

## Footnote

My foot hurts."
"# Translate:

съедать

## Footnote

Он съедает всё.","to eat up, to consume

## Footnote

He eats up everything."
"# Translate:

си

## Footnote

Сыграй си ещё раз.","B, si

## Footnote

Play B again."
"# Translate:

раскол

## Footnote

В партии произошёл раскол.","schism, split

## Footnote

A split happened in the party."
"# Translate:

предсказывать

## Footnote

Он предсказывает дождь.","predict, forecast

## Footnote

He predicts rain."
"# Translate:

обхватить

## Footnote

Она обхватила его.","embrace

## Footnote

She embraced him tightly."
"# Translate:

злоупотребление

## Footnote

Это злоупотребление властью.","abuse, misuse

## Footnote

This is an abuse of power."
"# Translate:

монарх

## Footnote

Монарх вышел к народу.","monarch, sovereign

## Footnote

The monarch went out to the people."
"# Translate:

магистраль

## Footnote

Поезд идёт по магистрали.","main line, trunk line

## Footnote

The train goes on the main line."
"# Translate:

сугроб

## Footnote

Возле дома лежит сугроб.","snowdrift, snow bank

## Footnote

There is a snowdrift near the house."
"# Translate:

корейский

## Footnote

Это корейский фильм.","Korean

## Footnote

This is a Korean movie."
"# Translate:

девиз

## Footnote

Наш девиз простой.","motto, slogan

## Footnote

Our motto is simple."
"# Translate:

прилив

## Footnote

Скоро будет прилив.","tide, high tide

## Footnote

The tide will come soon."
"# Translate:

стихнуть

## Footnote

Ветер стих.","subside, abate

## Footnote

The wind subsided."
"# Translate:

копирование

## Footnote

Копирование запрещено.","copying, duplication

## Footnote

Copying is forbidden."
"# Translate:

беззащитный

## Footnote

Он был беззащитен.","defenseless, vulnerable

## Footnote

He was defenseless."
"# Translate:

побледнеть

## Footnote

Она побледнела от страха.","to turn pale, to blanch

## Footnote

She turned pale from fear."
"# Translate:

кавалер

## Footnote

Он настоящий кавалер.","gentleman, cavalier

## Footnote

He is a true gentleman."
"# Translate:

стопка

## Footnote

Налей стопку.","shot, stack

## Footnote

Pour a shot."
"# Translate:

распространиться

## Footnote

Слух быстро распространился.","spread, disseminate

## Footnote

The rumor spread quickly."
"# Translate:

адресат

## Footnote

Кто адресат письма?","addressee, recipient

## Footnote

Who is the addressee of the letter?"
"# Translate:

прошлогодний

## Footnote

Это прошлогодний снег.","last year's

## Footnote

This is last year's snow."
"# Translate:

соус

## Footnote

Добавь соус к мясу.","sauce, gravy

## Footnote

Add sauce to the meat."
"# Translate:

обыкновение

## Footnote

У него такое обыкновение.","habit, custom

## Footnote

He has such a habit."
"# Translate:

поморщиться

## Footnote

Он поморщился от боли.","to wince, to grimace

## Footnote

He winced from the pain."
"# Translate:

суверенитет

## Footnote

Страна защищает суверенитет.","sovereignty, autonomy

## Footnote

The country defends its sovereignty."
"# Translate:

неформальный

## Footnote

Это неформальный ужин.","informal, casual

## Footnote

This is an informal dinner."
"# Translate:

веранда

## Footnote

Мы сидели на веранде.","veranda, porch

## Footnote

We sat on the veranda."
"# Translate:

рифма

## Footnote

В стихе нет рифмы.","rhyme

## Footnote

There is no rhyme in the poem."
"# Translate:

малость

## Footnote

Подожди малость.","a bit, a little

## Footnote

Wait a bit."
"# Translate:

пробраться

## Footnote

Мы пробрались в дом.","sneak in, infiltrate

## Footnote

We sneaked in."
"# Translate:

менталитет

## Footnote

У них другой менталитет.","mentality, mindset

## Footnote

They have another mentality."
"# Translate:

ноздря

## Footnote

У него болит ноздря.","nostril, naris

## Footnote

His nostril hurts."
"# Translate:

вонючий

## Footnote

Какой вонючий сыр.","smelly, stinky

## Footnote

What smelly cheese."
"# Translate:

лабораторный

## Footnote

Это лабораторная работа.","laboratory, lab

## Footnote

This is laboratory work."
"# Translate:

распределять

## Footnote

Она распределяет работу.","distribute, allocate

## Footnote

She distributes the work."
"# Translate:

ухватиться

## Footnote

Он ухватился за край.","grab, seize

## Footnote

He grabbed the edge."
"# Translate:

выпрямиться

## Footnote

Он сразу выпрямился.","straighten up, straighten

## Footnote

He straightened up at once."
"# Translate:

обрывок

## Footnote

Я нашёл обрывок бумаги.","fragment, snippet

## Footnote

I found a fragment of paper."
"# Translate:

призвание

## Footnote

Это моё призвание.","calling, vocation

## Footnote

This is my calling."
"# Translate:

необыкновенно

## Footnote

Она необыкновенно красива.","extraordinarily, exceptionally

## Footnote

She is extraordinarily beautiful."
"# Translate:

интегрировать

## Footnote

Нужно интегрировать эту систему.","integrate, incorporate

## Footnote

We need to integrate this system."
"# Translate:

пластмассовый

## Footnote

Это пластмассовая ложка.","plastic

## Footnote

This is a plastic spoon."
"# Translate:

казахстанский

## Footnote

Это казахстанский фильм.","Kazakhstani, Kazakh

## Footnote

This is a Kazakhstani movie."
"# Translate:

перевернуться

## Footnote

Лодка перевернулась.","to overturn, to flip over

## Footnote

The boat overturned."
"# Translate:

дивизион

## Footnote

Дивизион стоит здесь.","division, divisional

## Footnote

The division stands here."
"# Translate:

опереться

## Footnote

Он опёрся на стол.","to lean on, to rely on

## Footnote

He leaned on the table."
"# Translate:

возглас

## Footnote

Раздался громкий возглас.","exclamation, outcry

## Footnote

A loud exclamation rang out."
"# Translate:

па

## Footnote

Па, посмотри сюда.","dad, pa

## Footnote

Dad, look here."
"# Translate:

попугай

## Footnote

Попугай сидит в клетке.","parrot, parakeet

## Footnote

The parrot sits in the cage."
"# Translate:

останки

## Footnote

Здесь нашли останки.","remains, relics

## Footnote

They found remains here."
"# Translate:

трансляция

## Footnote

Трансляция уже началась.","broadcast

## Footnote

The broadcast has already started."
"# Translate:

рейд

## Footnote

Полиция провела рейд.","raid

## Footnote

The police conducted a raid."
"# Translate:

отличительный

## Footnote

Это его отличительный знак.","distinctive, distinguishing

## Footnote

This is his distinctive mark."
"# Translate:

притягивать

## Footnote

Она притягивает внимание.","attract, pull

## Footnote

She attracts attention."
"# Translate:

прозрачность

## Footnote

Нам нужна прозрачность.","transparency, clarity

## Footnote

We need transparency."
"# Translate:

исповедь

## Footnote

Он шёл на исповедь.","confession, confession of faith

## Footnote

He went to confession."
"# Translate:

травка

## Footnote

Травка уже выросла.","grass, weed

## Footnote

The grass already grew."
"# Translate:

разразиться

## Footnote

Он разразился смехом.","burst out, erupt

## Footnote

He burst out laughing."
"# Translate:

конвой

## Footnote

Конвой шёл медленно.","convoy, escort

## Footnote

The convoy went slowly."
"# Translate:

кумир

## Footnote

Он мой кумир.","idol, icon

## Footnote

He is my idol."
"# Translate:

футболист

## Footnote

Он хороший футболист.","footballer, soccer player

## Footnote

He is a good footballer."
"# Translate:

древесина

## Footnote

Стол сделан из древесины.","wood, timber

## Footnote

The table is made of wood."
"# Translate:

мостовая

## Footnote

Мостовая мокрая.","pavement, cobblestone

## Footnote

The pavement is wet."
